wind_speed,Enercon E-33 / 300
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0404188215766979
2.02,0.0813285409502318
2.03,0.1227200559174308
2.04,0.1645842642751335
2.05,0.206912063820168
2.06,0.2496943523493729
2.07,0.2929220276595778
2.08,0.3365859875476211
2.09,0.3806771298103313
2.1,0.4251863522445462
2.11,0.4701045526470959
2.12,0.5154226288148177
2.13,0.5611314785445418
2.14,0.6072219996331054
2.15,0.6536850898773379
2.16,0.7005116470740775
2.17,0.7476925690201546
2.18,0.7952187535124053
2.19,0.8430810983476602
2.2,0.8912705013227564
2.21,0.939777860234524
2.22,0.9885940728798
2.23,1.037710037055415
2.24,1.0871166505582068
2.25,1.1368048111850042
2.26,1.1867654167326434
2.27,1.2369893649979595
2.28,1.2874675537777824
2.29,1.3381908808689504
2.3,1.389150244068292
2.31,1.440336541172646
2.32,1.4917406699788418
2.33,1.5433535282837156
2.34,1.5951660138841
2.35,1.647169024576831
2.36,1.6993534581587366
2.37,1.7517102124266566
2.38,1.804230185177421
2.39,1.8569042742078656
2.4,1.9097233773148217
2.41,1.962678392295126
2.42,2.0157602169456093
