wind_speed,Braun Windturbinen ANTARIS 5.5kW
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0003103497173517
1.81,0.0007138549874245
1.82,0.0011261259873526
1.83,0.0015471224155648
1.84,0.0019768039704896
1.85,0.0024151303505557
1.86,0.0028620612541918
1.87,0.0033175563798265
1.88,0.0037815754258886
1.89,0.0042540780908067
1.9,0.0047350240730094
1.91,0.0052243730709255
1.92,0.0057220847829836
1.93,0.0062281189076123
1.94,0.0067424351432403
1.95,0.0072649931882964
1.96,0.0077957527412091
1.97,0.0083346735004072
1.98,0.0088817151643192
1.99,0.0094368374313739
2.0,0.01
2.01,0.010571162568626
2.02,0.0111502848356807
2.03,0.0117373264995927
2.04,0.0123322472587908
2.05,0.0129350068117035
2.06,0.0135455648567596
2.07,0.0141638810923876
2.08,0.0147899152170163
2.09,0.0154236269290744
2.1,0.0160649759269905
2.11,0.0167139219091932
2.12,0.0173704245741113
2.13,0.0180344436201734
2.14,0.0187059387458081
2.15,0.0193848696494442
2.16,0.0200711960295104
2.17,0.0207648775844351
2.18,0.0214658740126473
2.19,0.0221741450125754
2.2,0.0228896502826482
2.21,0.0236123495212944
2.22,0.0243422024269426
2.23,0.0250791686980214
2.24,0.0258232080329596
2.25,0.0265742801301858
2.26,0.0273323446881287
2.27,0.028097361405217
2.28,0.0288692899798792
2.29,0.0296480901105442
2.3,0.0304337214956404
2.31,0.0312261438335968
2.32,0.0320253168228417
2.33,0.0328312001618041
