wind_speed,TURBOWINDS T400-34
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0146241708982665
2.02,0.0295486573255477
2.03,0.044773774810856
2.04,0.0602998388832072
2.05,0.076127165071613
2.06,0.0922560689050893
2.07,0.1086868659126487
2.08,0.1254198716233064
2.09,0.1424554015660748
2.1,0.1597937712699694
2.11,0.1774352962640027
2.12,0.1953802920771902
2.13,0.2136290742385441
2.14,0.2321819582770801
2.15,0.2510392597218103
2.16,0.2702012941017507
2.17,0.2896683769459132
2.18,0.3094408237833136
2.19,0.329518950142964
2.2,0.3499030715538802
2.21,0.3705935035450743
2.22,0.391590561645562
2.23,0.4128945613843557
2.24,0.4345058182904711
2.25,0.4564246478929197
2.26,0.4786513657207171
2.27,0.5011862873028778
2.28,0.524029728168414
2.29,0.5471820038463416
2.3,0.5706434298656726
2.31,0.5944143217554227
2.32,0.6184949950446039
2.33,0.6428857652622322
2.34,0.6675869479373195
2.35,0.6925988585988823
2.36,0.7179218127759315
2.37,0.7435561259974839
2.38,0.7695021137925511
2.39,0.7957600916901489
2.4,0.8223303752192895
2.41,0.8492132799089889
