wind_speed,WindMaster / HMZ WM 600 VS45
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0053751338944609
1.52,0.0107373623053817
1.53,0.0160737797492224
1.54,0.0213714807424425
1.55,0.0266175598015023
1.56,0.0317991114428614
1.57,0.0369032301829797
1.58,0.0419170105383173
1.59,0.0468275470253339
1.6,0.0516219341604893
1.61,0.0562872664602435
1.62,0.0608106384410564
1.63,0.0651791446193877
1.64,0.0693798795116975
1.65,0.0733999376344456
1.66,0.0772264135040918
1.67,0.0808464016370962
1.68,0.0842469965499184
1.69,0.0874152927590184
1.7,0.0903383847808562
1.71,0.0930033671318914
1.72,0.0953973343285841
1.73,0.0975073808873941
1.74,0.0993206013247813
1.75,0.1008240901572056
1.76,0.1020049419011268
1.77,0.1028502510730048
1.78,0.1033471121892995
1.79,0.1034826197664707
1.8,0.1032438683209785
1.81,0.1026179523692825
1.82,0.1015919664278428
1.83,0.1001530050131191
1.84,0.0982881626415715
1.85,0.0959845338296596
1.86,0.0932292130938436
1.87,0.0900092949505829
1.88,0.0863118739163379
1.89,0.0821240445075684
1.9,0.0774329012407339
1.91,0.0722255386322945
1.92,0.0664890511987102
1.93,0.0602105334564408
1.94,0.0533770799219459
1.95,0.0459757851116857
1.96,0.0379937435421201
1.97,0.0294180497297088
1.98,0.0202357981909118
1.99,0.0104340834421889
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
