wind_speed,Unison U54
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.1293103791090138
2.02,0.2601916490796543
2.03,0.39261470077353
2.04,0.5265504250522769
2.05,0.6619697127774969
2.06,0.7988434548108267
2.07,0.9371425420138764
2.08,1.076837865248279
2.09,1.2179003153756394
2.1,1.3603007832575926
2.11,1.5040101597557496
2.12,1.6489993357317378
2.13,1.7952392020471717
2.14,1.942700649563679
2.15,2.09135456914287
2.16,2.241171851646381
2.17,2.392123387935817
2.18,2.5441800688728144
2.19,2.697312785318976
2.2,2.8514924281359395
2.21,3.0066898881853104
2.22,3.162876056328724
2.23,3.3200218234277887
2.24,3.478098080344135
2.25,3.637075717939375
2.26,3.796925627075134
2.27,3.957618698613037
2.28,4.119125823414695
2.29,4.281417892341741
2.3,4.444465796255782
2.31,4.608240426018452
2.32,4.772712672491357
2.33,4.937853426536135
2.34,5.103633579014391
2.35,5.270024020787759
2.36,5.436995642717846
2.37,5.604519335666285
2.38,5.77256599049469
2.39,5.941106498064687
2.4,6.110111749237885
2.41,6.279552634875921
2.42,6.449400045840404
2.43,6.619624872992967
2.44,6.790198007195208
