wind_speed,Nordtank NTK 200
1.0,0.0
1.01,0.0065458557150018
1.02,0.0128943489461342
1.03,0.0190474732538403
1.04,0.0250072221985633
1.05,0.0307755893407462
1.06,0.0363545682408323
1.07,0.0417461524592646
1.08,0.0469523355564862
1.09,0.0519751110929403
1.1,0.05681647262907
1.11,0.0614784137253184
1.12,0.0659629279421287
1.13,0.0702720088399439
1.14,0.0744076499792073
1.15,0.0783718449203619
1.16,0.0821665872238508
1.17,0.0857938704501172
1.18,0.0892556881596043
1.19,0.092554033912755
1.2,0.0956909012700126
1.21,0.0986682837918202
1.22,0.1014881750386209
1.23,0.1041525685708578
1.24,0.1066634579489741
1.25,0.1090228367334128
1.26,0.1112326984846172
1.27,0.1132950367630303
1.28,0.1152118451290952
1.29,0.1169851171432551
1.3,0.1186168463659532
1.31,0.1201090263576324
1.32,0.121463650678736
1.33,0.1226827128897072
1.34,0.1237682065509888
1.35,0.1247221252230243
1.36,0.1255464624662566
1.37,0.1262432118411289
1.38,0.1268143669080843
1.39,0.1272619212275659
1.4,0.1275878683600169
1.41,0.1277942018658803
1.42,0.1278829153055994
1.43,0.1278560022396172
1.44,0.1277154562283769
1.45,0.1274632708323216
1.46,0.1271014396118943
1.47,0.1266319561275383
1.48,0.1260568139396967
1.49,0.1253780066088125
1.5,0.124597527695329
1.51,0.1237173707596892
1.52,0.1227395293623362
1.53,0.1216659970637133
1.54,0.1204987674242634
1.55,0.1192398340044298
1.56,0.1178911903646556
1.57,0.1164548300653838
1.58,0.1149327466670577
1.59,0.1133269337301203
1.6,0.1116393848150148
1.61,0.1098720934821842
1.62,0.1080270532920718
1.63,0.1061062578051206
1.64,0.1041117005817738
1.65,0.1020453751824745
1.66,0.0999092751676657
1.67,0.0977053940977908
1.68,0.0954357255332926
1.69,0.0931022630346146
1.7,0.0907070001621995
1.71,0.0882519304764908
1.72,0.0857390475379314
1.73,0.0831703449069644
1.74,0.0805478161440331
1.75,0.0778734548095806
1.76,0.07514925446405
1.77,0.0723772086678842
1.78,0.0695593109815267
1.79,0.0666975549654204
1.8,0.0637939341800084
1.81,0.060850442185734
1.82,0.0578690725430401
1.83,0.05485181881237
1.84,0.0518006745541668
1.85,0.0487176333288736
1.86,0.0456046886969335
1.87,0.0424638342187896
1.88,0.0392970634548852
1.89,0.0361063699656633
1.9,0.0328937473115669
1.91,0.0296611890530393
1.92,0.0264106887505235
1.93,0.0231442399644627
1.94,0.0198638362553001
1.95,0.0165714711834787
1.96,0.0132691383094418
1.97,0.0099588311936323
1.98,0.0066425433964934
1.99,0.0033222684784682
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
