wind_speed,WES 20/50
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0111389466007741
2.02,0.0224360576500332
2.03,0.0338894975962605
2.04,0.0454974308879418
2.05,0.0572580219735597
2.06,0.0691694353016002
2.07,0.0812298353205464
2.08,0.093437386478884
2.09,0.1057902532250959
2.1,0.118286600007668
2.11,0.1309245912750833
2.12,0.1437023914758274
2.13,0.1566181650583835
2.14,0.1696700764712372
2.15,0.1828562901628715
2.16,0.1961749705817724
2.17,0.2096242821764228
2.18,0.2232023893953083
2.19,0.2369074566869122
2.2,0.2507376484997198
2.21,0.2646911292822145
2.22,0.2787660634828819
2.23,0.2929606155502052
2.24,0.3072729499326699
2.25,0.3217012310787592
2.26,0.3362436234369581
2.27,0.3508982914557516
2.28,0.3656633995836229
2.29,0.3805371122690574
2.3,0.3955175939605386
2.31,0.4106030091065518
2.32,0.4257915221555802
2.33,0.4410812975561096
2.34,0.4564704997566232
2.35,0.4719572932056063
2.36,0.4875398423515421
2.37,0.5032163116429165
2.38,0.5189848655282127
2.39,0.5348436684559157
2.4,0.5507908848745091
2.41,0.5668246792324785
2.42,0.5829432159783072
