wind_speed,ATB Riva Calzoni ATB 500.54
1.0,0.0
1.01,0.1492756721362187
1.02,0.2940505702381795
1.03,0.4343701566698648
1.04,0.5702798937952571
1.05,0.7018252439783389
1.06,0.8290516695830924
1.07,0.9520046329734998
1.08,1.070729596513544
1.09,1.1852720225672075
1.1,1.295677373498472
1.11,1.4019911116713195
1.12,1.5042586994497344
1.13,1.6025255991976952
1.14,1.6968372732791892
1.15,1.7872391840581967
1.16,1.8737767938987
1.17,1.9564955651646811
1.18,2.035440960220124
1.19,2.1106584414290084
1.2,2.182193471155319
1.21,2.250091511763037
1.22,2.314398025616145
1.23,2.3751584750786265
1.24,2.4324183225144616
1.25,2.486223030287636
1.26,2.536618060762129
1.27,2.5836488763019245
1.28,2.627360939271004
1.29,2.667799712033351
1.3,2.705010656952948
1.31,2.739039236393776
1.32,2.769930912719819
1.33,2.797731148295058
1.34,2.822485405483476
1.35,2.8442391466490555
1.36,2.863037834155779
1.37,2.8789269303676286
1.38,2.891951897648588
1.39,2.902158198362637
1.4,2.90959129487376
1.41,2.9142966495459373
1.42,2.9163197247431545
1.43,2.9157059828293925
1.44,2.912500886168633
1.45,2.906749897124859
1.46,2.898498478062054
1.47,2.887792091344197
1.48,2.874676199335274
1.49,2.8591962643992668
1.5,2.8413977489001554
1.51,2.8213261152019244
1.52,2.799026825668556
1.53,2.774545342664032
1.54,2.7479271285523352
1.55,2.719217645697449
1.56,2.6884623564633534
1.57,2.655706723214033
1.58,2.620996208313469
1.59,2.584376274125644
1.6,2.5458923830145395
1.61,2.505589997344138
1.62,2.4635145794784266
1.63,2.4197115917813816
1.64,2.374226496616989
1.65,2.327104756349229
1.66,2.2783918333420834
1.67,2.228133189959538
1.68,2.176374288565573
1.69,2.123160591524172
1.7,2.0685375611993138
1.71,2.012550659954986
1.72,1.955245350155168
1.73,1.896667094163841
1.74,1.8368613543449888
1.75,1.775873593062597
1.76,1.713749272680646
1.77,1.6505338555631135
1.78,1.586272804073989
1.79,1.521011580577249
1.8,1.4547956474368813
1.81,1.387670467016862
1.82,1.31968150168118
1.83,1.2508742137938136
1.84,1.1812940657187472
1.85,1.1109865198199618
1.86,1.0399970384614392
1.87,0.9683710840071648
1.88,0.8961541188211193
1.89,0.8233916052672847
1.9,0.7501290057096437
1.91,0.6764117825121767
1.92,0.6022853980388694
1.93,0.5277953146537024
1.94,0.4529869947206602
1.95,0.3779059006037213
1.96,0.3025974946668739
1.97,0.2271072392740949
1.98,0.1514805967893673
1.99,0.0757630295766742
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.1538109461704679
3.02,0.3121478169192784
3.03,0.4749903004264938
3.04,0.6423180848722264
3.05,0.8141108584365386
3.06,0.9903483092995392
3.07,1.171010125641301
3.08,1.3560759956419297
3.09,1.5455256074814925
3.1,1.739338649340093
3.11,1.9374948093978064
3.12,2.1399737758347355
3.13,2.346755236830957
3.14,2.5578188805665656
3.15,2.773144395221636
3.16,2.992711468976285
3.17,3.2164997900105607
3.18,3.44448904650459
3.19,3.676658926638435
3.2,3.912989118592199
3.21,4.15345931054595
3.22,4.398049190679801
3.23,4.646738447173817
3.24,4.899506768208115
3.25,5.156333841962749
3.26,5.417199356617821
3.27,5.682083000353435
3.28,5.950964461349647
3.29,6.223823427786584
3.3,6.500639587844296
3.31,6.781392629702899
3.32,7.0660622415424585
3.33,7.354628111543085
3.34,7.647069927884843
3.35,7.943367378747851
3.36,8.243500152312158
3.37,8.547447936757889
3.38,8.855190420265107
3.39,9.166707291013918
3.4,9.481978237184386
3.41,9.800982946956628
3.42,10.123701108510708
3.43,10.450112410026737
3.44,10.780196539684768
3.45,11.113933185664935
3.46,11.45130203614728
3.47,11.792282779311934
3.48,12.136855103338942
3.49,12.484998696408432
3.5,12.83669324670046
3.51,13.191918442395124
3.52,13.550653971672531
3.53,13.91287952271274
3.54,14.278574783695866
3.55,14.647719442801971
3.56,15.020293188211166
3.57,15.396275708103529
3.58,15.775646690659146
3.59,16.158385824058094
3.6,16.5444727964805
3.61,16.933887296106395
3.62,17.326609011115917
3.63,17.722617629689125
3.64,18.12189284000613
3.65,18.524414330246987
3.66,18.93016178859182
3.67,19.33911490322069
3.68,19.751253362313705
3.69,20.166556854050928
3.7,20.58500506661248
3.71,21.00657768817841
3.72,21.43125440692885
3.73,21.85901491104385
3.74,22.28983888870353
3.75,22.72370602808794
3.76,23.16059601737719
3.77,23.60048854475139
3.78,24.04336329839059
3.79,24.4891999664749
3.8,24.937978237184385
3.81,25.38967779869918
3.82,25.84427833919931
3.83,26.301759546864915
3.84,26.762101109876053
3.85,27.225282716412835
3.86,27.69128405465532
3.87,28.16008481278363
3.88,28.631664678977813
3.89,29.106003341418
3.9,29.58308048828424
3.91,30.06287580775665
