wind_speed,W2E Wind to Energy W2E-165/5.2
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.5006467686638949
2.02,1.0109870586187508
2.03,1.531014391155434
2.04,2.06072228756495
2.05,2.600104269138148
2.06,3.149153857166027
2.07,3.7078645729394673
2.08,4.276229937749456
2.09,4.854243472886855
2.1,5.441898699642662
2.11,6.039189139307746
2.12,6.6461083131731
2.13,7.262649742529593
2.14,7.888806948668213
2.15,8.524573452879832
2.16,9.169942776455448
2.17,9.82490844068592
2.18,10.489463966862251
2.19,11.163602876275307
2.2,11.84731869021607
2.21,12.54060492997542
2.22,13.243455116844345
2.23,13.95586277211372
2.24,14.677821417074531
2.25,15.40932457301765
2.26,16.150365761234035
2.27,16.90093850301465
2.28,17.661036319650368
2.29,18.43065273243218
2.3,19.20978126265095
2.31,19.99841543159767
2.32,20.79654876056321
2.33,21.60417477083857
2.34,22.42128698371461
2.35,23.247878920482336
2.36,24.0839441024326
2.37,24.9294760508564
2.38,25.78446828704461
2.39,26.648914332288214
2.4,27.52280770787809
2.41,28.406141935105232
2.42,29.298910535260497
2.43,30.201107029634898
2.44,31.112724939519268
