wind_speed,Windspot 7.5Kw
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0017776340950774
2.02,0.0035799590787868
2.03,0.0054066658397598
2.04,0.0072574452666283
2.05,0.0091319882480239
2.06,0.0110299856725788
2.07,0.0129511284289244
2.08,0.0148951074056929
2.09,0.0168616134915158
2.1,0.0188503375750251
2.11,0.0208609705448525
2.12,0.02289320328963
2.13,0.0249467266979892
2.14,0.0270212316585621
2.15,0.0291164090599803
2.16,0.0312319497908759
2.17,0.0333675447398805
2.18,0.035522884795626
2.19,0.0376976608467442
2.2,0.0398915637818669
2.21,0.0421042844896259
2.22,0.0443355138586532
2.23,0.0465849427775803
2.24,0.0488522621350393
2.25,0.0511371628196617
2.26,0.0534393357200797
2.27,0.0557584717249249
2.28,0.0580942617228291
2.29,0.0604463966024242
2.3,0.062814567252342
2.31,0.0651984645612143
2.32,0.0675977794176729
2.33,0.0700122027103496
2.34,0.0724414253278763
2.35,0.0748851381588848
2.36,0.0773430320920068
2.37,0.0798147980158743
2.38,0.0823001268191189
2.39,0.0847987093903726
2.4,0.0873102366182671
2.41,0.0898343993914343
