wind_speed,USW U.S. Windpower 56-100
1.0,0.0
1.01,0.0005682357430031
1.02,0.0011193387500363
1.03,0.0016534820790386
1.04,0.0021708387879492
1.05,0.0026715819347071
1.06,0.0031558845772514
1.07,0.0036239197735212
1.08,0.0040758605814556
1.09,0.0045118800589937
1.1,0.0049321512640746
1.11,0.0053368472546374
1.12,0.0057261410886211
1.13,0.0061002058239649
1.14,0.0064592145186078
1.15,0.0068033402304889
1.16,0.0071327560175474
1.17,0.0074476349377223
1.18,0.0077481500489526
1.19,0.0080344744091776
1.2,0.0083067810763362
1.21,0.0085652431083677
1.22,0.0088100335632109
1.23,0.0090413254988052
1.24,0.0092592919730895
1.25,0.0094641060440029
1.26,0.0096559407694845
1.27,0.0098349692074735
1.28,0.0100013644159088
1.29,0.0101552994527297
1.3,0.0102969473758752
1.31,0.0104264812432843
1.32,0.0105440741128962
1.33,0.0106498990426499
1.34,0.0107441290904846
1.35,0.0108269373143393
1.36,0.0108984967721532
1.37,0.0109589805218652
1.38,0.0110085616214146
1.39,0.0110474131287404
1.4,0.0110757081017817
1.41,0.0110936195984775
1.42,0.011101320676767
1.43,0.0110989843945893
1.44,0.0110867838098835
1.45,0.0110648919805885
1.46,0.0110334819646436
1.47,0.0109927268199879
1.48,0.0109427996045603
1.49,0.0108838733763
1.5,0.0108161211931462
1.51,0.0107397161130378
1.52,0.010654831193914
1.53,0.0105616394937138
1.54,0.0104603140703764
1.55,0.0103510279818409
1.56,0.0102339542860463
1.57,0.0101092660409317
1.58,0.0099771363044362
1.59,0.0098377381344989
1.6,0.009691244589059
1.61,0.0095378287260554
1.62,0.0093776636034273
1.63,0.0092109222791137
1.64,0.0090377778110538
1.65,0.0088584032571867
1.66,0.0086729716754514
1.67,0.008481656123787
1.68,0.0082846296601327
1.69,0.0080820653424274
1.7,0.0078741362286104
1.71,0.0076610153766206
1.72,0.0074428758443973
1.73,0.0072198906898794
1.74,0.006992232971006
1.75,0.0067600757457163
1.76,0.0065235920719494
1.77,0.0062829550076443
1.78,0.0060383376107401
1.79,0.0057899129391759
1.8,0.0055378540508908
1.81,0.0052823340038239
1.82,0.0050235258559143
1.83,0.0047616026651011
1.84,0.0044967374893233
1.85,0.0042291033865201
1.86,0.0039588734146305
1.87,0.0036862206315937
1.88,0.0034113180953487
1.89,0.0031343388638346
1.9,0.0028554559949906
1.91,0.0025748425467556
1.92,0.0022926715770688
1.93,0.0020091161438692
1.94,0.0017243493050961
1.95,0.0014385441186884
1.96,0.0011518736425853
1.97,0.0008645109347257
1.98,0.000576629053049
1.99,0.000288401055494
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.000585368478973
3.02,0.0011871774621597
3.03,0.0018045616598645
3.04,0.0024366557823919
3.05,0.0030825945400466
3.06,0.0037415126431331
3.07,0.0044125448019559
3.08,0.0050948257268195
3.09,0.0057874901280286
3.1,0.0064896727158877
3.11,0.0072005082007012
3.12,0.0079191312927739
3.13,0.0086446767024101
3.14,0.0093762791399146
3.15,0.0101130733155917
3.16,0.010854193939746
3.17,0.0115987757226822
3.18,0.0123459533747048
3.19,0.0130948616061182
3.2,0.0138446351272271
3.21,0.014594408648336
3.22,0.0153433168797495
3.23,0.016090494531772
3.24,0.0168350763147082
3.25,0.0175761969388626
3.26,0.0183129911145396
3.27,0.0190445935520441
3.28,0.0197701389616803
3.29,0.020488762053753
3.3,0.0211995975385665
3.31,0.0219017801264256
3.32,0.0225944445276347
3.33,0.0232767254524983
3.34,0.0239477576113211
3.35,0.0246066757144076
3.36,0.0252526144720623
3.37,0.0258847085945897
3.38,0.0265020927922945
3.39,0.0271039017754812
3.4,0.0276892702544543
3.41,0.0282573329395183
3.42,0.0288072245409779
3.43,0.0293380797691375
3.44,0.0298490333343017
3.45,0.0303392199467751
3.46,0.0308077743168622
3.47,0.0312538311548675
3.48,0.0316765251710957
3.49,0.0320749910758512
3.5,0.0324483635794386
3.51,0.0327957773921624
3.52,0.0331163672243273
3.53,0.0334092677862377
3.54,0.0336736137881982
3.55,0.0339085399405133
3.56,0.0341131809534877
3.57,0.0342866715374257
3.58,0.0344281464026321
3.59,0.0345367402594113
3.6,0.0346115878180678
3.61,0.0346518237889063
3.62,0.0346565828822313
3.63,0.0346249998083473
3.64,0.0345562092775589
3.65,0.0344493460001706
3.66,0.034303544686487
3.67,0.0341179400468126
3.68,0.033891666791452
3.69,0.0336238596307097
3.7,0.0333136532748903
3.71,0.0329601824342983
3.72,0.0325625818192382
3.73,0.0321199861400147
3.74,0.0316315301069322
3.75,0.0310963484302953
3.76,0.0305135758204086
3.77,0.0298823469875766
3.78,0.0292017966421039
3.79,0.0284710594942949
3.8,0.0276892702544543
3.81,0.0268555636328866
3.82,0.0259690743398963
3.83,0.025028937085788
3.84,0.0240342865808663
3.85,0.0229842575354356
3.86,0.0218779846598007
3.87,0.0207146026642658
3.88,0.0194932462591358
3.89,0.018213050154715
3.9,0.0168731490613081
