wind_speed,WindMaster / HMZ WM 300/25
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0021614755572129
2.02,0.0043216540993901
2.03,0.0064792386114956
2.04,0.0086329320784937
2.05,0.0107814374853483
2.06,0.0129234578170239
2.07,0.0150576960584844
2.08,0.0171828551946942
2.09,0.0192976382106173
2.1,0.0214007480912179
2.11,0.0234908878214602
2.12,0.0255667603863083
2.13,0.0276270687707265
2.14,0.0296705159596789
2.15,0.0316958049381295
2.16,0.0337016386910428
2.17,0.0356867202033827
2.18,0.0376497524601136
2.19,0.0395894384461994
2.2,0.0415044811466045
2.21,0.0433935835462928
2.22,0.0452554486302289
2.23,0.0470887793833765
2.24,0.0488922787907
2.25,0.0506646498371636
2.26,0.0524045955077315
2.27,0.0541108187873677
2.28,0.0557820226610364
2.29,0.0574169101137019
2.3,0.0590141841303282
2.31,0.0605725476958796
2.32,0.0620907037953203
2.33,0.0635673554136143
2.34,0.0650012055357259
2.35,0.0663909571466193
2.36,0.0677353132312585
2.37,0.0690329767746078
2.38,0.0702826507616314
2.39,0.0714830381772933
2.4,0.0726328420065578
2.41,0.0737307652343891
