wind_speed,Vestas V27.1
1.0,0.0
1.01,0.0130644464654864
1.02,0.0257296034154544
1.03,0.0379996145632944
1.04,0.0498786236223972
1.05,0.0613707743061534
1.06,0.0724802103279536
1.07,0.0832110754011886
1.08,0.0935675132392489
1.09,0.1035536675555253
1.1,0.1131736820634082
1.11,0.1224317004762885
1.12,0.1313318665075568
1.13,0.1398783238706035
1.14,0.1480752162788197
1.15,0.1559266874455956
1.16,0.1634368810843222
1.17,0.1706099409083901
1.18,0.1774500106311898
1.19,0.183961233966112
1.2,0.1901477546265473
1.21,0.1960137163258864
1.22,0.20156326277752
1.23,0.2068005376948388
1.24,0.2117296847912332
1.25,0.2163548477800941
1.26,0.2206801703748121
1.27,0.2247097962887777
1.28,0.2284478692353817
1.29,0.2318985329280149
1.3,0.2350659310800676
1.31,0.2379542074049305
1.32,0.2405675056159945
1.33,0.2429099694266502
1.34,0.244985742550288
1.35,0.2467989687002987
1.36,0.248353791590073
1.37,0.2496543549330017
1.38,0.250704802442475
1.39,0.251509277831884
1.4,0.2520719248146191
1.41,0.252396887104071
1.42,0.2524883084136304
1.43,0.252350332456688
1.44,0.2519871029466342
1.45,0.2514027635968598
1.46,0.2506014581207556
1.47,0.2495873302317122
1.48,0.24836452364312
1.49,0.2469371820683696
1.5,0.2453094492208523
1.51,0.2434854688139582
1.52,0.2414693845610779
1.53,0.2392653401756023
1.54,0.236877479370922
1.55,0.2343099458604275
1.56,0.2315668833575099
1.57,0.2286524355755593
1.58,0.2255707462279665
1.59,0.2223259590281222
1.6,0.2189222176894172
1.61,0.2153636659252419
1.62,0.2116544474489872
1.63,0.2077987059740437
1.64,0.2038005852138019
1.65,0.1996642288816524
1.66,0.195393780690986
1.67,0.1909933843551934
1.68,0.1864671835876651
1.69,0.1818193221017919
1.7,0.1770539436109642
1.71,0.172175191828573
1.72,0.1671872104680088
1.73,0.162094143242662
1.74,0.1569001338659237
1.75,0.1516093260511841
1.76,0.1462258635118343
1.77,0.1407538899612647
1.78,0.1351975491128658
1.79,0.1295609846800285
1.8,0.1238483403761436
1.81,0.1180637599146012
1.82,0.1122113870087923
1.83,0.1062953653721078
1.84,0.1003198387179379
1.85,0.0942889507596734
1.86,0.088206845210705
1.87,0.0820776657844234
1.88,0.0759055561942193
1.89,0.069694660153483
1.9,0.0634491213756054
1.91,0.057173083573977
1.92,0.0508706904619888
1.93,0.0445460857530312
1.94,0.0382034131604948
1.95,0.0318468163977703
1.96,0.0254804391782485
1.97,0.01910842521532
1.98,0.0127349182223751
1.99,0.0063640619128048
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.011392639336581
2.94,0.0241689310089556
2.95,0.0373456698502077
2.96,0.0509269995737278
2.97,0.0649170638929055
2.98,0.0793200065211321
2.99,0.0941399711717985
3.0,0.109381101558295
