wind_speed,Siva 250/50
1.0,0.0
1.01,0.0120404567785407
1.02,0.0237178847094873
1.03,0.0350359507508962
1.04,0.0459983218608239
1.05,0.056608664997327
1.06,0.0668706471184619
1.07,0.0767879351822851
1.08,0.0863641961468531
1.09,0.0956030969702226
1.1,0.1045083046104499
1.11,0.1130834860255915
1.12,0.121332308173704
1.13,0.1292584380128437
1.14,0.1368655425010675
1.15,0.1441572885964318
1.16,0.1511373432569928
1.17,0.1578093734408074
1.18,0.1641770461059319
1.19,0.1702440282104227
1.2,0.1760139867123365
1.21,0.1814905885697297
1.22,0.1866775007406588
1.23,0.1915783901831805
1.24,0.1961969238553511
1.25,0.2005367687152271
1.26,0.2046015917208652
1.27,0.2083950598303217
1.28,0.2119208400016531
1.29,0.2151825991929161
1.3,0.2181840043621672
1.31,0.2209287224674627
1.32,0.2234204204668592
1.33,0.2256627653184132
1.34,0.2276594239801812
1.35,0.2294140634102199
1.36,0.2309303505665855
1.37,0.2322119524073347
1.38,0.233262535890524
1.39,0.2340857679742098
1.4,0.2346853156164486
1.41,0.2350648457752971
1.42,0.2352280254088117
1.43,0.2351785214750489
1.44,0.2349200009320651
1.45,0.234456130737917
1.46,0.233790577850661
1.47,0.2329270092283536
1.48,0.2318690918290513
1.49,0.2306204926108107
1.5,0.2291848785316881
1.51,0.2275659165497403
1.52,0.2257672736230236
1.53,0.2237926167095945
1.54,0.2216456127675097
1.55,0.2193299287548255
1.56,0.2168492316295985
1.57,0.2142071883498852
1.58,0.2114074658737423
1.59,0.2084537311592258
1.6,0.2053496511643925
1.61,0.202098892847299
1.62,0.1987051231660019
1.63,0.1951720090785574
1.64,0.1915032175430222
1.65,0.1877024155174526
1.66,0.1837732699599053
1.67,0.179719447828437
1.68,0.1755446160811037
1.69,0.1712524416759622
1.7,0.166846591571069
1.71,0.1623307327244806
1.72,0.1577085320942536
1.73,0.1529836566384443
1.74,0.1481597733151092
1.75,0.1432405490823051
1.76,0.1382296508980884
1.77,0.1331307457205152
1.78,0.1279475005076426
1.79,0.1226835822175268
1.8,0.1173426578082244
1.81,0.1119283942377917
1.82,0.1064444584642855
1.83,0.1008945174457621
1.84,0.0952822381402781
1.85,0.0896112875058901
1.86,0.0838853325006543
1.87,0.0781080400826275
1.88,0.0722830772098662
1.89,0.0664141108404268
1.9,0.0605048079323658
1.91,0.0545588354437396
1.92,0.0485798603326049
1.93,0.0425715495570181
1.94,0.0365375700750359
1.95,0.0304815888447145
1.96,0.0244072728241108
1.97,0.0183182889712809
1.98,0.0122183042442814
1.99,0.0061109856011688
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0124074856261343
3.02,0.0251873322676377
3.03,0.0383452051342262
3.04,0.0518867694356185
3.05,0.0658176903815307
3.06,0.0801436331816815
3.07,0.0948702630457871
3.08,0.1100032451835662
3.09,0.1255482448047352
3.1,0.1415109271190127
3.11,0.157896957336115
3.12,0.1747120006657602
3.13,0.1919617223176659
3.14,0.2096517875015498
3.15,0.2277878614271276
3.16,0.2463756093041197
3.17,0.2654206963422406
3.18,0.28492878775121
3.19,0.3049055487407437
3.2,0.325356644520561
3.21,0.3462877403003771
3.22,0.3677045012899116
3.23,0.3896125926988799
3.24,0.4120176797370022
3.25,0.4349254276139928
3.26,0.458341501539571
3.27,0.4822715667234549
3.28,0.5067212883753601
3.29,0.5316963317050059
3.3,0.5572023619221083
3.31,0.5832450442363859
3.32,0.6098300438575547
3.33,0.636963025995334
3.34,0.6646496558594394
3.35,0.6928955986595908
3.36,0.7217065196055018
3.37,0.7510880839068944
3.38,0.781045956773483
3.39,0.8115858034149868
