wind_speed,Fuhrländer FL 2500/90
1.0,0.0
1.01,0.0989829697003491
1.02,0.1949815282539539
1.03,0.2880258212279534
1.04,0.3781459941894864
1.05,0.4653721927056917
1.06,0.5497345623437081
1.07,0.6312632486706744
1.08,0.7099883972537294
1.09,0.7859401536600125
1.1,0.8591486634566616
1.11,0.929644072210816
1.12,0.9974565254896146
1.13,1.0626161688601945
1.14,1.125153147889698
1.15,1.185097608145262
1.16,1.2424796951940251
1.17,1.297329554603127
1.18,1.349677331939706
1.19,1.3995531727709003
1.2,1.4469872226638498
1.21,1.492009627185693
1.22,1.534650531903568
1.23,1.5749400823846147
1.24,1.612908424195971
1.25,1.648585702904777
1.26,1.68200206407817
1.27,1.7131876532832904
1.28,1.742172616087275
1.29,1.7689870980572646
1.3,1.7936612447603977
1.31,1.816225201763812
1.32,1.8367091146346468
1.33,1.8551431289400424
1.34,1.871557390247135
1.35,1.885982044123065
1.36,1.8984472361349711
1.37,1.908983111849993
1.38,1.9176198168352672
1.39,1.9243874966579344
1.4,1.9293162968851336
1.41,1.9324363630840016
1.42,1.93377784082168
1.43,1.9333708756653063
1.44,1.9312456131820184
1.45,1.9274321989389565
1.46,1.921960778503259
1.47,1.914861497442064
1.48,1.906164501322512
1.49,1.89589993571174
1.5,1.884097946176888
1.51,1.8707886782850949
1.52,1.8560022776034983
1.53,1.839768889699238
1.54,1.822118660139453
1.55,1.8030817344912824
1.56,1.7826882583218628
1.57,1.7609683771983358
1.58,1.7379522366878395
1.59,1.7136699823575114
1.6,1.6881517597744913
1.61,1.6614277145059178
1.62,1.6335279921189318
1.63,1.604482738180668
1.64,1.5743220982582695
1.65,1.543076217918872
1.66,1.5107752427296148
1.67,1.4774493182576387
1.68,1.4431285900700808
1.69,1.40784320373408
1.7,1.3716233048167743
1.71,1.3344990388853055
1.72,1.2965005515068109
1.73,1.2576579882484271
1.74,1.218001494677295
1.75,1.177561216360555
1.76,1.1363672988653444
1.77,1.0944498877588
1.78,1.051839128608064
1.79,1.008565166980273
1.8,0.964658148442567
1.81,0.9201482185620836
1.82,0.8750655229059633
1.83,0.8294402070413438
1.84,0.783302416535364
1.85,0.7366822969551631
1.86,0.6896099938678792
1.87,0.6421156528406526
1.88,0.5942294194406216
1.89,0.5459814392349246
1.9,0.4974018577906993
1.91,0.448520820675086
1.92,0.3993684734552233
1.93,0.349974961698249
1.94,0.3003704309713048
1.95,0.2505850268415257
1.96,0.2006488948760552
1.97,0.1505921806420276
1.98,0.1004450297065833
1.99,0.0502375876368601
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
