wind_speed,Leitwind LTW80 1650
1.0,0.0
1.01,0.2466093831090106
1.02,0.4856355687373474
1.03,0.7171581851423912
1.04,0.9412568605815222
1.05,1.1580112233121216
1.06,1.367500901591569
1.07,1.5698055236772457
1.08,1.7650047178265311
1.09,1.953178112296808
1.1,2.134405335345455
1.11,2.308766015229853
1.12,2.476339780207383
1.13,2.637206258535421
1.14,2.791445078471357
1.15,2.939135868272565
1.16,3.080358256196427
1.17,3.215191870500324
1.18,3.343716339441636
1.19,3.4660112912777428
1.2,3.582156354266026
1.21,3.692231156663866
1.22,3.7963153267286422
1.23,3.894488492717738
1.24,3.9868302828885303
1.25,4.073420325498403
1.26,4.154338248804734
1.27,4.229663681064905
1.28,4.299476250536296
1.29,4.363855585476288
1.3,4.422881314142263
1.31,4.476633064791598
1.32,4.5251904656816775
1.33,4.568633145069879
1.34,4.607040731213584
1.35,4.640492852370174
1.36,4.669069136797027
1.37,4.692849212751527
1.38,4.711912708491052
1.39,4.726339252272983
1.4,4.736208472354702
1.41,4.741599996993586
1.42,4.742593454447023
1.43,4.739268472972386
1.44,4.731704680827056
1.45,4.719981706268419
1.46,4.704179177553852
1.47,4.684376722940733
1.48,4.660653970686447
1.49,4.633090549048372
1.5,4.60176608628389
1.51,4.566760210650379
1.52,4.528152550405224
1.53,4.486022733805801
1.54,4.440450389109494
1.55,4.391515144573681
1.56,4.339296628455745
1.57,4.283874469013064
1.58,4.225328294503022
1.59,4.163737733182995
1.6,4.099182413310365
1.61,4.031741963142512
1.62,3.961496010936824
1.63,3.888524184950669
1.64,3.8129061134414406
1.65,3.7347214246665055
1.66,3.6540497468832553
1.67,3.5709707083490665
1.68,3.48556393732132
1.69,3.397909062057394
1.7,3.308085710814671
1.71,3.216173511850535
1.72,3.1222520934223628
1.73,3.026401083787533
1.74,2.928700111203426
1.75,2.829228803927431
1.76,2.728066790216922
1.77,2.625293698329276
1.78,2.52098915652188
1.79,2.4152327930521107
1.8,2.308104236177352
1.81,2.1996831141549804
1.82,2.0900490552423805
