wind_speed,Halbes 2 kW
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0002267516143821
2.02,0.0004564580732802
2.03,0.0006890742212098
2.04,0.000924554902687
2.05,0.0011628549622274
2.06,0.001403929244347
2.07,0.0016477325935614
2.08,0.0018942198543867
2.09,0.0021433458713385
2.1,0.0023950654889327
2.11,0.0026493335516851
2.12,0.0029061049041116
2.13,0.0031653343907279
2.14,0.0034269768560499
2.15,0.0036909871445935
2.16,0.0039573201008744
2.17,0.0042259305694084
2.18,0.0044967733947114
2.19,0.0047698034212992
2.2,0.0050449754936876
2.21,0.0053222444563925
2.22,0.0056015651539297
2.23,0.0058828924308149
2.24,0.0061661811315641
2.25,0.0064513861006929
2.26,0.0067384621827174
2.27,0.0070273642221532
2.28,0.0073180470635162
2.29,0.0076104655513222
2.3,0.0079045745300871
2.31,0.0082003288443267
2.32,0.0084976833385567
2.33,0.0087965928572931
2.34,0.0090970122450516
2.35,0.009398896346348
2.36,0.0097022000056983
2.37,0.0100068780676181
2.38,0.0103128853766233
2.39,0.0106201767772298
2.4,0.0109287071139534
2.41,0.0112384312313099
2.42,0.011549303973815
