wind_speed,DWT Danish Wind Tech Windane 34 
1.0,0.0
1.01,0.0
1.02,0.0
1.03,0.0
1.04,0.0
1.05,0.0
1.06,0.0
1.07,0.0
1.08,0.0
1.09,0.0
1.1,0.0
1.11,0.0
1.12,0.0
1.13,0.0
1.14,0.0
1.15,0.0
1.16,0.0
1.17,0.0
1.18,0.0
1.19,0.0
1.2,0.0
1.21,0.0
1.22,0.0
1.23,0.0
1.24,0.0
1.25,0.0
1.26,0.0
1.27,0.0
1.28,0.0
1.29,0.0
1.3,0.0
1.31,0.0
1.32,0.0
1.33,0.0
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0021139667999037
2.02,0.0042266650928769
2.03,0.0063368263719888
2.04,0.008443182130309
2.05,0.0105444638609064
2.06,0.0126394030568507
2.07,0.0147267312112111
2.08,0.0168051798170573
2.09,0.0188734803674582
2.1,0.0209303643554835
2.11,0.0229745632742024
2.12,0.0250048086166842
2.13,0.0270198318759985
2.14,0.0290183645452146
2.15,0.0309991381174016
2.16,0.0329608840856293
2.17,0.0349023339429667
2.18,0.0368222191824833
2.19,0.0387192712972485
2.2,0.0405922217803316
2.21,0.042439802124802
2.22,0.0442607438237291
2.23,0.0460537783701822
2.24,0.0478176372572306
2.25,0.0495510519779438
2.26,0.0512527540253912
2.27,0.052921474892642
2.28,0.0545559460727656
2.29,0.0561548990588316
2.3,0.057717065343909
2.31,0.0592411764210674
2.32,0.0607259637833761
2.33,0.0621701589239044
2.34,0.0635724933357219
2.35,0.0649316985118977
2.36,0.0662465059455012
2.37,0.0675156471296019
2.38,0.0687378535572691
2.39,0.0699118567215721
2.4,0.0710363881155803
2.41,0.0721101792323631
