wind_speed,b.ventus 250 kW
1.0,0.0
1.01,0.0594586069631259
1.02,0.1174905546826374
1.03,0.1741122119704391
1.04,0.2293399476384353
1.05,0.2831901304985305
1.06,0.335679129362629
1.07,0.3868233130426354
1.08,0.4366390503504542
1.09,0.4851427100979898
1.1,0.5323506610971467
1.11,0.5782792721598289
1.12,0.6229449120979416
1.13,0.6663639497233876
1.14,0.7085527538480738
1.15,0.7495276932839033
1.16,0.7893051368427807
1.17,0.8279014533366106
1.18,0.8653330115772974
1.19,0.901616180376745
1.2,0.9367673285468584
1.21,0.9708028248995424
1.22,1.0037390382467004
1.23,1.0355923374002376
1.24,1.0663790911720583
1.25,1.0961156683740672
1.26,1.124818437818168
1.27,1.152503768316266
1.28,1.1791880286802647
1.29,1.2048875877220695
1.3,1.2296188142535844
1.31,1.253398077086714
1.32,1.2762417450333623
1.33,1.298166186905435
1.34,1.3191877715148348
1.35,1.3393228676734672
1.36,1.3585878441932362
1.37,1.376999069886047
1.38,1.394572913563803
1.39,1.4113257440384093
1.4,1.4272739301217705
1.41,1.4424338406257902
1.42,1.4568218443623742
1.43,1.4704543101434258
1.44,1.4833476067808498
1.45,1.4955181030865503
1.46,1.5069821678724329
1.47,1.5177561699504003
1.48,1.527856478132359
1.49,1.5372994612302116
1.5,1.5461014880558634
1.51,1.5542789274212188
1.52,1.561848148138182
1.53,1.5688255190186575
1.54,1.5752274088745506
1.55,1.5810701865177648
1.56,1.5863702207602042
1.57,1.591143880413774
1.58,1.5954075342903795
1.59,1.599177551201923
1.6,1.6024702999603102
1.61,1.6053021493774453
1.62,1.6076894682652338
1.63,1.6096486254355775
1.64,1.6111959897003847
1.65,1.6123479298715562
1.66,1.613120814760998
1.67,1.6135310131806149
1.68,1.6135948939423113
1.69,1.6133288258579908
1.7,1.6127491777395575
1.71,1.6118723183989183
1.72,1.6107146166479756
1.73,1.6092924412986331
1.74,1.607622161162797
1.75,1.6057201450523717
1.76,1.6036027617792614
1.77,1.601286380155369
1.78,1.5987873689926015
1.79,1.5961220971028611
1.8,1.5933069332980538
1.81,1.5903582463900832
1.82,1.587292405190854
1.83,1.5841257785122704
1.84,1.580874735166237
1.85,1.5775556439646596
1.86,1.5741848737194395
1.87,1.570778793242484
1.88,1.5673537713456964
1.89,1.5639261768409818
1.9,1.5605123785402442
1.91,1.5571287452553868
1.92,1.553791645798317
1.93,1.550517448980936
1.94,1.5473225236151509
1.95,1.5442232385128638
1.96,1.541235962485982
1.97,1.538377064346407
1.98,1.5356629129060446
1.99,1.5331098769767997
2.0,1.5307343253705754
2.01,1.528552626899278
2.02,1.5265811503748108
2.03,1.5248362646090776
2.04,1.523334338413984
2.05,1.5220917406014345
2.06,1.5211248399833328
2.07,1.520450005371584
2.08,1.5200836055780915
2.09,1.5200420094147606
2.1,1.520341585693496
2.11,1.5209987032262011
2.12,1.522029730824782
2.13,1.5234510373011416
2.14,1.5252789914671852
2.15,1.5275299621348166
2.16,1.5302203181159408
2.17,1.5333664282224615
2.18,1.5369846612662843
2.19,1.5410913860593127
2.2,1.5457029714134518
2.21,1.5508357861406057
2.22,1.556506199052679
2.23,1.5627305789615755
2.24,1.5695252946792009
2.25,1.576906715017458
2.26,1.5848912087882518
2.27,1.5934951448034884
2.28,1.6027348918750697
2.29,1.6126268188149024
2.3,1.62318729443489
2.31,1.634432687546937
2.32,1.6463793669629463
2.33,1.6590437014948252
2.34,1.6724420599544754
2.35,1.6865908111538044
2.36,1.7015063239047143
2.37,1.7172049670191107
2.38,1.7337031093088957
2.39,1.751017119585977
2.4,1.7691633666622577
2.41,1.7881582193496424
2.42,1.8080180464600333
2.43,1.8287592168053384
2.44,1.85039809919746
2.45,1.8729510624483043
2.46,1.8964344753697735
2.47,1.920864706773774
2.48,1.9462581254722084
2.49,1.972631100276984
2.5,2.0
2.51,2.028381193453167
2.52,2.0577910494483853
2.53,2.088245936797561
2.54,2.119762224312599
2.55,2.152356280805402
2.56,2.1860444750878765
2.57,2.2208431759719254
2.58,2.256768752269455
2.59,2.293837572792365
2.6,2.332066006352568
2.61,2.3714704217619595
2.62,2.4120671878324518
2.63,2.4538726733759417
2.64,2.496903247204341
2.65,2.541175278129548
2.66,2.586705134963472
2.67,2.633509186518013
2.68,2.681603801605082
2.69,2.731005349036576
2.7,2.7817301976244044
2.71,2.833794716180468
2.72,2.887215273516675
2.73,2.942008238444927
2.74,2.998189979777131
2.75,3.0557768663251883
2.76,3.114785266901003
2.77,3.175231550316485
2.78,3.237132085383534
2.79,3.300503240914057
2.8,3.365361385719956
2.81,3.431722888613139
2.82,3.499604118405503
2.83,3.5690214439089627
2.84,3.639991233935413
2.85,3.712529857296766
2.86,3.786653682804921
2.87,3.862379079271789
2.88,3.9397224155092623
2.89,4.018700060329259
2.9,4.099328382543673
2.91,4.181623750964416
2.92,4.265602534403387
2.93,4.351281101672497
2.94,4.438675821583642
2.95,4.527803062948735
2.96,4.618679194579672
2.97,4.711320585288366
2.98,4.805743603886713
2.99,4.901964619186625
