wind_speed,NPS Northern Power NPS 100C-24
1.0,0.0
1.01,0.0098384158007739
1.02,0.0193211004718763
1.03,0.0284528593782533
1.04,0.0372384978848511
1.05,0.0456828213566159
1.06,0.0537906351584937
1.07,0.0615667446554309
1.08,0.0690159552123736
1.09,0.0761430721942679
1.1,0.0829529009660601
1.11,0.0894502468926963
1.12,0.0956399153391227
1.13,0.1015267116702853
1.14,0.1071154412511306
1.15,0.1124109094466047
1.16,0.1174179216216537
1.17,0.1221412831412237
1.18,0.1265857993702611
1.19,0.1307562756737118
1.2,0.1346575174165222
1.21,0.1382943299636384
1.22,0.1416715186800065
1.23,0.1447938889305728
1.24,0.1476662460802834
1.25,0.1502933954940845
1.26,0.1526801425369224
1.27,0.1548312925737431
1.28,0.1567516509694927
1.29,0.1584460230891177
1.3,0.159919214297564
1.31,0.1611760299597779
1.32,0.1622212754407055
1.33,0.1630597561052932
1.34,0.1636962773184868
1.35,0.1641356444452328
1.36,0.1643826628504771
1.37,0.1644421378991662
1.38,0.1643188749562461
1.39,0.1640176793866629
1.4,0.163543356555363
1.41,0.1629007118272923
1.42,0.1620945505673972
1.43,0.1611296781406239
1.44,0.1600108999119183
1.45,0.1587430212462268
1.46,0.1573308475084957
1.47,0.1557791840636709
1.48,0.1540928362766986
1.49,0.1522766095125252
1.5,0.1503353091360966
1.51,0.1482737405123593
1.52,0.1460967090062591
1.53,0.1438090199827425
1.54,0.1414154788067556
1.55,0.1389208908432445
1.56,0.1363300614571554
1.57,0.1336477960134344
1.58,0.1308788998770279
1.59,0.1280281784128819
1.6,0.1251004369859426
1.61,0.1221004809611561
1.62,0.1190331157034689
1.63,0.1159031465778268
1.64,0.1127153789491763
1.65,0.1094746181824632
1.66,0.1061856696426339
1.67,0.1028533386946347
1.68,0.0994824307034116
1.69,0.0960777510339108
1.7,0.0926441050510783
1.71,0.0891862981198608
1.72,0.085709135605204
1.73,0.0822174228720542
1.74,0.0787159652853575
1.75,0.0752095682100603
1.76,0.0717030370111089
1.77,0.0682011770534488
1.78,0.0647087937020269
1.79,0.0612306923217891
1.8,0.0577716782776815
1.81,0.0543365569346502
1.82,0.0509301336576417
1.83,0.047557213811602
1.84,0.0442226027614773
1.85,0.0409311058722138
1.86,0.0376875285087575
1.87,0.0344966760360548
1.88,0.0313633538190517
1.89,0.0282923672226947
1.9,0.0252885216119296
1.91,0.0223566223517027
1.92,0.0195014748069602
1.93,0.0167278843426482
1.94,0.0140406563237131
1.95,0.0114445961151009
1.96,0.0089445090817578
1.97,0.00654520058863
1.98,0.0042514760006636
1.99,0.0020681406828048
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
