wind_speed,DANREGN Bonus 30
1.0,0.0
1.01,0.0010221217557006
1.02,0.0020134257700234
1.03,0.0029742233332853
1.04,0.0039048257358031
1.05,0.0048055442678938
1.06,0.0056766902198744
1.07,0.0065185748820619
1.08,0.0073315095447732
1.09,0.0081158054983251
1.1,0.0088717740330348
1.11,0.0095997264392191
1.12,0.0102999740071949
1.13,0.0109728280272793
1.14,0.0116185997897891
1.15,0.0122376005850414
1.16,0.012830141703353
1.17,0.013396534435041
1.18,0.0139370900704222
1.19,0.0144521198998137
1.2,0.0149419352135323
1.21,0.015406847301895
1.22,0.0158471674552188
1.23,0.0162632069638206
1.24,0.0166552771180173
1.25,0.017023689208126
1.26,0.0173687545244635
1.27,0.0176907843573468
1.28,0.0179900899970929
1.29,0.0182669827340186
1.3,0.0185217738584411
1.31,0.0187547746606771
1.32,0.0189662964310437
1.33,0.0191566504598577
1.34,0.0193261480374362
1.35,0.0194751004540961
1.36,0.0196038190001544
1.37,0.0197126149659279
1.38,0.0198017996417337
1.39,0.0198716843178886
1.4,0.0199225802847097
1.41,0.0199547988325139
1.42,0.0199686512516181
1.43,0.0199644488323393
1.44,0.0199425028649944
1.45,0.0199031246399004
1.46,0.0198466254473743
1.47,0.0197733165777329
1.48,0.0196835093212932
1.49,0.0195775149683722
1.5,0.0194556448092868
1.51,0.019318210134354
1.52,0.0191655222338907
1.53,0.0189978923982139
1.54,0.0188156319176405
1.55,0.0186190520824875
1.56,0.0184084641830718
1.57,0.0181841795097103
1.58,0.0179465093527201
1.59,0.017695765002418
1.6,0.017432257749121
1.61,0.0171562988831461
1.62,0.0168681996948102
1.63,0.0165682714744302
1.64,0.0162568255123231
1.65,0.0159341730988059
1.66,0.0156006255241955
1.67,0.0152564940788088
1.68,0.0149020900529629
1.69,0.0145377247369745
1.7,0.0141637094211608
1.71,0.0137803553958386
1.72,0.0133879739513249
1.73,0.0129868763779367
1.74,0.0125773739659908
1.75,0.0121597780058043
1.76,0.011734399787694
1.77,0.011301550601977
1.78,0.0108615417389702
1.79,0.0104146844889905
1.8,0.0099612901423548
1.81,0.0095016699893802
1.82,0.0090361353203836
1.83,0.0085649974256819
1.84,0.0080885675955921
1.85,0.0076071571204311
1.86,0.0071210772905159
1.87,0.0066306393961634
1.88,0.0061361547276906
1.89,0.0056379345754144
1.9,0.0051362902296517
1.91,0.0046315329807196
1.92,0.0041239741189349
1.93,0.0036139249346146
1.94,0.0031016967180757
1.95,0.0025876007596351
1.96,0.0020719483496098
1.97,0.0015550507783166
1.98,0.0010372193360727
1.99,0.0005187653131948
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0010533394970785
3.02,0.0021386515742672
3.03,0.0032567797799813
3.04,0.0044085676626361
3.05,0.0055948587706467
3.06,0.0068164966524285
3.07,0.0080743248563966
3.08,0.0093691869309664
3.09,0.0107019264245531
3.1,0.0120733868855721
3.11,0.0134844118624384
3.12,0.0149358449035674
3.13,0.0164285295573744
3.14,0.0179633093722745
3.15,0.0195410278966831
3.16,0.0211625286790155
3.17,0.0228286552676868
3.18,0.0245402512111124
3.19,0.0262981600577073
3.2,0.0281032253558872
3.21,0.0299562906540669
3.22,0.031858199500662
3.23,0.0338097954440874
3.24,0.0358119220327588
3.25,0.0378654228150911
3.26,0.0399711413394997
3.27,0.0421299211543999
3.28,0.0443426058082068
3.29,0.0466100388493359
3.3,0.0489330638262022
3.31,0.0513125242872211
3.32,0.0537492637808078
3.33,0.0562441258553777
3.34,0.0587979540593458
3.35,0.0614115919411276
3.36,0.0640858830491381
3.37,0.0668216709317929
