wind_speed,WEG AGW 100
1.0,0.0
1.01,0.0125260132859024
1.02,0.0246251115983606
1.03,0.0363026173108436
1.04,0.0475638527968205
1.05,0.0584141404297606
1.06,0.0688588025831329
1.07,0.0789031616304066
1.08,0.0885525399450508
1.09,0.0978122599005347
1.1,0.1066876438703273
1.11,0.1151840142278978
1.12,0.1233066933467154
1.13,0.131061003600249
1.14,0.1384522673619682
1.15,0.1454858070053417
1.16,0.1521669449038388
1.17,0.1585010034309287
1.18,0.1644933049600804
1.19,0.1701491718647631
1.2,0.1754739265184459
1.21,0.180472891294598
1.22,0.1851513885666884
1.23,0.1895147407081864
1.24,0.193568270092561
1.25,0.1973172990932815
1.26,0.2007671500838169
1.27,0.2039231454376363
1.28,0.2067906075282088
1.29,0.2093748587290038
1.3,0.2116812214134903
1.31,0.2137150179551373
1.32,0.215481570727414
1.33,0.2169862021037897
1.34,0.2182342344577333
1.35,0.2192309901627141
1.36,0.219981791592201
1.37,0.2204919611196635
1.38,0.2207668211185705
1.39,0.2208116939623911
1.4,0.2206319020245946
1.41,0.2202327676786499
1.42,0.2196196132980264
1.43,0.2187977612561932
1.44,0.2177725339266192
1.45,0.2165492536827737
1.46,0.2151332428981259
1.47,0.2135298239461447
1.48,0.2117443192002995
1.49,0.2097820510340592
1.5,0.2076483418208931
1.51,0.2053485139342704
1.52,0.2028878897476599
1.53,0.2002717916345311
1.54,0.197505541968353
1.55,0.1945944631225947
1.56,0.1915438774707253
1.57,0.1883591073862141
1.58,0.1850454752425302
1.59,0.1816083034131424
1.6,0.1780529142715202
1.61,0.1743846301911325
1.62,0.1706087735454489
1.63,0.166730666707938
1.64,0.1627556320520693
1.65,0.1586889919513116
1.66,0.154536068779134
1.67,0.1503021849090062
1.68,0.1459926627143968
1.69,0.1416128245687752
1.7,0.1371679928456102
1.71,0.1326634899183714
1.72,0.1281046381605277
1.73,0.1234967599455481
1.74,0.1188451776469017
1.75,0.1141552136380582
1.76,0.1094321902924863
1.77,0.1046814299836549
1.78,0.0999082550850336
1.79,0.0951179879700913
1.8,0.0903159510122974
1.81,0.0855074665851204
1.82,0.0806978570620301
1.83,0.0758924448164953
1.84,0.0710965522219853
1.85,0.0663155016519692
1.86,0.061554615479916
1.87,0.0568192160792948
1.88,0.0521146258235751
1.89,0.0474461670862257
1.9,0.0428191622407159
1.91,0.0382389336605146
1.92,0.0337108037190911
1.93,0.0292400947899145
1.94,0.0248321292464541
1.95,0.0204922294621787
1.96,0.0162257178105579
1.97,0.0120379166650605
1.98,0.0079341483991555
1.99,0.0039197353863122
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
