wind_speed,Wind World W2700
1.0,0.0
1.01,0.0218702965489639
1.02,0.0430811871718284
1.03,0.0636393325345137
1.04,0.0835513933029399
1.05,0.1028240301430274
1.06,0.1214639037206962
1.07,0.1394776747018666
1.08,0.1568720037524587
1.09,0.1736535515383928
1.1,0.1898289787255891
1.11,0.2054049459799676
1.12,0.2203881139674487
1.13,0.2347851433539523
1.14,0.2486026948053992
1.15,0.2618474289877091
1.16,0.2745260065668024
1.17,0.2866450882085993
1.18,0.2982113345790199
1.19,0.3092314063439843
1.2,0.3197119641694129
1.21,0.3296596687212258
1.22,0.3390811806653431
1.23,0.3479831606676853
1.24,0.3563722693941722
1.25,0.3642551675107243
1.26,0.3716385156832617
1.27,0.3785289745777047
1.28,0.3849332048599731
1.29,0.3908578671959876
1.3,0.3963096222516681
1.31,0.4012951306929349
1.32,0.4058210531857081
1.33,0.4098940503959082
1.34,0.4135207829894549
1.35,0.4167079116322688
1.36,0.4194620969902697
1.37,0.4217899997293784
1.38,0.4236982805155145
1.39,0.4251936000145985
1.4,0.4262826188925506
1.41,0.4269719978152908
1.42,0.4272683974487396
1.43,0.427178478458817
1.44,0.426708901511443
1.45,0.4258663272725382
1.46,0.4246574164080228
1.47,0.4230888295838165
1.48,0.42116722746584
1.49,0.4188992707200132
1.5,0.4162916200122565
1.51,0.4133509360084899
1.52,0.4100838793746337
1.53,0.406497110776608
1.54,0.4025972908803332
1.55,0.3983910803517294
1.56,0.3938851398567166
1.57,0.3890861300612153
1.58,0.3840007116311459
1.59,0.3786355452324277
1.6,0.3729972915309816
1.61,0.3670926111927278
1.62,0.3609281648835865
1.63,0.3545106132694775
1.64,0.3478466170163214
1.65,0.3409428367900381
1.66,0.3338059332565479
1.67,0.3264425670817713
1.68,0.3188593989316279
1.69,0.3110630894720384
1.7,0.3030602993689226
1.71,0.2948576892882014
1.72,0.2864619198957942
1.73,0.2778796518576214
1.74,0.2691175458396032
1.75,0.2601822625076603
1.76,0.2510804625277125
1.77,0.2418188065656794
1.78,0.2324039552874825
1.79,0.2228425693590409
1.8,0.2131413094462753
1.81,0.2033068362151057
1.82,0.1933458103314524
1.83,0.1832648924612356
1.84,0.1730707432703755
1.85,0.1627700234247923
