wind_speed,Danwin Danwin 23
1.0,0.0
1.01,0.0051387151302243
1.02,0.0100781725178289
1.03,0.0148212939581936
1.04,0.0193710012466985
1.05,0.0237302161787236
1.06,0.0279018605496488
1.07,0.0318888561548542
1.08,0.0356941247897197
1.09,0.0393205882496254
1.1,0.0427711683299513
1.11,0.0460487868260773
1.12,0.0491563655333834
1.13,0.0520968262472497
1.14,0.0548730907630561
1.15,0.0574880808761827
1.16,0.0599447183820095
1.17,0.0622459250759164
1.18,0.0643946227532834
1.19,0.0663937332094906
1.2,0.0682461782399179
1.21,0.0699548796399453
1.22,0.0715227592049529
1.23,0.0729527387303206
1.24,0.0742477400114285
1.25,0.0754106848436565
1.26,0.0764444950223846
1.27,0.0773520923429928
1.28,0.0781363986008612
1.29,0.0788003355913696
1.3,0.0793468251098983
1.31,0.079778788951827
1.32,0.0800991489125358
1.33,0.0803108267874048
1.34,0.0804167443718138
1.35,0.080419823461143
1.36,0.0803229858507723
1.37,0.0801291533360817
1.38,0.0798412477124512
1.39,0.0794621907752608
1.4,0.0789949043198906
1.41,0.0784423101417204
1.42,0.0778073300361303
1.43,0.0770928857985003
1.44,0.0763018992242104
1.45,0.0754372921086407
1.46,0.074501986247171
1.47,0.0734989034351814
1.48,0.0724309654680519
1.49,0.0713010941411625
1.5,0.0701122112498931
1.51,0.0688672385896239
1.52,0.0675690979557347
1.53,0.0662207111436056
1.54,0.0648249999486166
1.55,0.0633848861661477
1.56,0.0619032915915788
1.57,0.0603831380202901
1.58,0.0588273472476615
1.59,0.0572388410690728
1.6,0.0556205412799042
1.61,0.0539753696755357
1.62,0.0523062480513473
1.63,0.050616098202719
1.64,0.0489078419250307
1.65,0.0471844010136625
1.66,0.0454486972639943
1.67,0.0437036524714062
1.68,0.0419521884312782
1.69,0.0401972269389902
1.7,0.0384416897899222
1.71,0.0366884987794543
1.72,0.0349405757029665
1.73,0.0332008423558387
1.74,0.0314722205334509
1.75,0.0297576320311832
1.76,0.0280599986444156
1.77,0.0263822421685279
1.78,0.0247272843989003
1.79,0.0230980471309128
1.8,0.0214974521599453
1.81,0.0199284212813778
1.82,0.0183938762905903
1.83,0.0168967389829629
1.84,0.0154399311538755
1.85,0.0140263745987082
1.86,0.0126589911128408
1.87,0.0113407024916535
1.88,0.0100744305305262
1.89,0.008863097024839
1.9,0.0077096237699718
1.91,0.0066169325613045
1.92,0.0055879451942174
1.93,0.0046255834640901
1.94,0.0037327691663029
1.95,0.0029124240962357
1.96,0.0021674700492686
1.97,0.0015008288207815
1.98,0.0009154222061543
1.99,0.0004141720007671
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0001720548057826
2.09,0.0006730674386954
2.1,0.0012903762300282
2.11,0.0020269029751608
2.12,0.0028855694694737
2.13,0.0038692975083463
2.14,0.0049810088871591
2.15,0.0062236254012917
2.16,0.0076000688461244
2.17,0.009113261017037
2.18,0.0107661237094096
2.19,0.0125615787186221
2.2,0.0145025478400547
2.21,0.0165919528690872
2.22,0.0188327156010997
2.23,0.021227757831472
2.24,0.0237800013555846
2.25,0.0264923679688168
2.26,0.0293677794665489
2.27,0.0324091576441613
2.28,0.0356194242970333
2.29,0.0390015012205456
2.3,0.0425583102100777
2.31,0.0462927730610099
2.32,0.0502078115687218
2.33,0.0543063475285938
2.34,0.0585913027360056
2.35,0.0630655989863374
2.36,0.0677321580749692
2.37,0.0725939017972812
2.38,0.0776537519486525
2.39,0.0829146303244642
2.4,0.0883794587200957
2.41,0.0940511589309274
2.42,0.0999326527523384
2.43,0.1060268619797097
2.44,0.1123367084084209
