wind_speed,DWT Danish Wind Tech Windane 40
1.0,0.0
1.01,0.0061667385103932
1.02,0.0121475452064027
1.03,0.0179442981871637
1.04,0.0235588755518114
1.05,0.0289931553994809
1.06,0.0342490158293074
1.07,0.0393283349404262
1.08,0.0442329908319724
1.09,0.0489648616030812
1.1,0.0535258253528878
1.11,0.0579177601805274
1.12,0.0621425441851351
1.13,0.0662020554658462
1.14,0.0700981721217959
1.15,0.0738327722521193
1.16,0.0774077339559516
1.17,0.0808249353324281
1.18,0.0840862544806839
1.19,0.0871935694998542
1.2,0.0901487584890741
1.21,0.092953699547479
1.22,0.0956102707742039
1.23,0.098120350268384
1.24,0.1004858161291546
1.25,0.1027085464556509
1.26,0.1047904193470079
1.27,0.106733312902361
1.28,0.1085391052208452
1.29,0.1102096744015959
1.3,0.1117468985437482
1.31,0.1131526557464372
1.32,0.1144288241087981
1.33,0.1155772817299663
1.34,0.1165999067090766
1.35,0.1174985771452646
1.36,0.1182751711376653
1.37,0.1189315667854139
1.38,0.1194696421876455
1.39,0.1198912754434955
1.4,0.1201983446520989
1.41,0.1203927279125909
1.42,0.1204763033241068
1.43,0.1204509489857818
1.44,0.120318542996751
1.45,0.1200809634561496
1.46,0.1197400884631128
1.47,0.1192977961167757
1.48,0.1187559645162737
1.49,0.1181164717607418
1.5,0.1173811959493153
1.51,0.1165520151811294
1.52,0.1156308075553191
1.53,0.1146194511710198
1.54,0.1135198241273666
1.55,0.1123338045234947
1.56,0.1110632704585393
1.57,0.1097101000316356
1.58,0.1082761713419189
1.59,0.106763362488524
1.6,0.1051735515705865
1.61,0.1035086166872414
1.62,0.101770435937624
1.63,0.0999608874208693
1.64,0.0980818492361127
1.65,0.0961351994824893
1.66,0.0941228162591342
1.67,0.0920465776651827
1.68,0.08990836179977
1.69,0.0877100467620312
1.7,0.0854535106511016
1.71,0.0831406315661163
1.72,0.0807732876062105
1.73,0.0783533568705194
1.74,0.0758827174581781
1.75,0.0733632474683221
1.76,0.0707968250000863
1.77,0.0681853281526058
1.78,0.0655306350250162
1.79,0.0628346237164523
1.8,0.0600991723260494
1.81,0.0573261589529428
1.82,0.0545174616962676
1.83,0.0516749586551589
1.84,0.0488005279287521
1.85,0.0458960476161823
1.86,0.0429633958165846
1.87,0.0400044506290942
1.88,0.0370210901528465
1.89,0.0340151924869764
1.9,0.0309886357306193
1.91,0.0279432979829102
1.92,0.0248810573429845
1.93,0.0218037919099772
1.94,0.0187133797830237
1.95,0.0156116990612589
1.96,0.0125006278438183
1.97,0.009382044229837
1.98,0.0062578263184499
1.99,0.0031298522087925
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
