wind_speed,Windflow 33-500
1.0,0.0
1.01,0.0001082995688855
1.02,0.0002100355275356
1.03,0.0003053418271794
1.04,0.0003943524190464
1.05,0.0004772012543658
1.06,0.0005540222843668
1.07,0.0006249494602789
1.08,0.0006901167333312
1.09,0.0007496580547532
1.1,0.000803707375774
1.11,0.0008523986476229
1.12,0.0008958658215294
1.13,0.0009342428487226
1.14,0.0009676636804319
1.15,0.0009962622678865
1.16,0.0010201725623158
1.17,0.001039528514949
1.18,0.0010544640770155
1.19,0.0010651131997445
1.2,0.0010716098343653
1.21,0.0010740879321073
1.22,0.0010726814441997
1.23,0.0010675243218718
1.24,0.0010587505163529
1.25,0.0010464939788724
1.26,0.0010308886606594
1.27,0.0010120685129434
1.28,0.0009901674869535
1.29,0.0009653195339192
1.3,0.0009376586050696
1.31,0.0009073186516342
1.32,0.0008744336248421
1.33,0.0008391374759227
1.34,0.0008015641561052
1.35,0.0007618476166191
1.36,0.0007201218086935
1.37,0.0006765206835577
1.38,0.0006311781924411
1.39,0.000584228286573
1.4,0.0005358049171826
1.41,0.0004860420354993
1.42,0.0004350735927523
1.43,0.0003830335401709
1.44,0.0003300558289845
1.45,0.0002762744104223
1.46,0.0002218232357136
1.47,0.0001668362560877
1.48,0.0001114474227739
1.49,5.579068700164595e-05
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.000114863179121
2.02,0.0002357541635603
2.03,0.0003620031971715
2.04,0.000492940523808
2.05,0.0006278963873234
2.06,0.0007662010315712
2.07,0.0009071847004049
2.08,0.001050177637678
2.09,0.0011945100872441
2.1,0.0013395122929566
2.11,0.0014845144986692
2.12,0.0016288469482353
2.13,0.0017718398855084
2.14,0.0019128235543421
2.15,0.0020511281985899
2.16,0.0021860840621053
2.17,0.0023170213887418
2.18,0.002443270422353
2.19,0.0025641614067923
2.2,0.0026790245859133
2.21,0.0027871902035696
2.22,0.0028879885036146
2.23,0.0029807497299018
2.24,0.0030648041262849
2.25,0.0031394819366172
2.26,0.0032041134047524
2.27,0.0032580287745439
2.28,0.0033005582898452
2.29,0.00333103219451
2.3,0.0033487807323917
2.31,0.0033531341473438
2.32,0.0033434226832199
2.33,0.0033189765838734
2.34,0.0032791260931579
2.35,0.003223201454927
2.36,0.0031505329130341
2.37,0.0030604507113328
2.38,0.0029522850936765
2.39,0.0028253663039189
2.4,0.0026790245859133
2.41,0.0025125901835135
2.42,0.0023253933405728
2.43,0.0021167643009448
2.44,0.001886033308483
2.45,0.0016325306070409
2.46,0.0013555864404721
2.47,0.0010545310526301
2.48,0.0007286946873684
2.49,0.0003774075885405
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
