wind_speed,Enercon E-44
1.0,0.0
1.01,0.0038820119119539
1.02,0.0074499933139998
1.03,0.0107111566355305
1.04,0.013672714305939
1.05,0.0163418787546184
1.06,0.0187258624109618
1.07,0.020831877704362
1.08,0.0226671370642121
1.09,0.0242388529199051
1.1,0.0255542377008341
1.11,0.026620503836392
1.12,0.0274448637559719
1.13,0.0280345298889667
1.14,0.0283967146647695
1.15,0.0285386305127733
1.16,0.0284674898623711
1.17,0.028190505142956
1.18,0.0277148887839209
1.19,0.0270478532146587
1.2,0.0261966108645627
1.21,0.0251683741630257
1.22,0.0239703555394408
1.23,0.0226097674232009
1.24,0.0210938222436992
1.25,0.0194297324303286
1.26,0.0176247104124821
1.27,0.0156859686195527
1.28,0.0136207194809335
1.29,0.0114361754260174
1.3,0.0091395488841975
1.31,0.0067380522848668
1.32,0.0042388980574182
1.33,0.0016492986312449
1.34,0.0
1.35,0.0
1.36,0.0
1.37,0.0
1.38,0.0
1.39,0.0
1.4,0.0
1.41,0.0
1.42,0.0
1.43,0.0
1.44,0.0
1.45,0.0
1.46,0.0
1.47,0.0
1.48,0.0
1.49,0.0
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.0081804864165456
2.02,0.016768185262485
2.03,0.0257703089672097
2.04,0.0351940699601142
2.05,0.0450466806705899
2.06,0.0553353535280312
2.07,0.0660673009618303
2.08,0.0772497354013809
2.09,0.088889869276075
2.1,0.1009949150153067
2.11,0.1135720850484679
2.12,0.1266285918049532
2.13,0.1401716477141533
2.14,0.154208465205464
2.15,0.1687462567082758
2.16,0.1837922346519838
2.17,0.1993536114659786
2.18,0.2154375995796559
2.19,0.2320514114224066
2.2,0.2492022594236251
2.21,0.2668973560127032
2.22,0.2851439136190357
2.23,0.3039491446720128
2.24,0.3233202616010306
2.25,0.3432644768354795
2.26,0.3637890028047539
2.27,0.3849010519382472
2.28,0.4066078366653514
2.29,0.4289165694154606
2.3,0.4518344626179662
2.31,0.4753687287022634
2.32,0.4995265800977426
2.33,0.5243152292337994
2.34,0.549741888539824
2.35,0.5758137704452124
2.36,0.6025380873793553
2.37,0.629922051771648
2.38,0.6579728760514805
2.39,0.6866977726482486
2.4,0.7161039539913436
2.41,0.7461986325101599
2.42,0.7769890206340879
2.43,0.8084823307925242
2.44,0.8406857754148582
2.45,0.8736065669304869
2.46,0.9072519177687994
2.47,0.941629040359192
2.48,0.9767451471310544
2.49,1.0126074505137832
2.5,1.0492231629367672
2.51,1.086599496829403
2.52,1.1247436646210829
2.53,1.1636628787411982
2.54,1.2033643516191443
2.55,1.243855295684312
2.56,1.2851429233660965
2.57,1.327234447093889
2.58,1.3701370792970842
2.59,1.4138580324050722
2.6,1.4584045188472503
2.61,1.5037837510530063
2.62,1.550002941451739
2.63,1.5970693024728355
2.64,1.644990046545694
2.65,1.6937723860997034
2.66,1.7434235335642605
2.67,1.793950701368754
2.68,1.8453611019425824
2.69,1.8976619477151333
2.7,1.9508604511158032
2.71,2.0049638245739825
2.72,2.059979280519067
2.73,2.1159140313804468
2.74,2.172775289587519
2.75,2.230570267569672
2.76,2.2893061777562997
2.77,2.3489902325767984
2.78,2.4096296444605576
2.79,2.471231625836974
2.8,2.533803389135437
2.81,2.597352146785342
2.82,2.661885111216077
2.83,2.727409494857044
2.84,2.793932510137628
2.85,2.861461369487227
2.86,2.9300032853352302
2.87,2.9995654701110346
2.88,3.0701551362440265
2.89,3.141779496163609
2.9,3.214445762299165
2.91,3.2881611470800958
2.92,3.362932862935786
2.93,3.4387681222956394
2.94,3.5156741375890377
2.95,3.593658121245382
2.96,3.67272728569406
2.97,3.752888843364471
2.98,3.834150006686
2.99,3.916517988088047
3.0,4.0
3.01,4.08460404242186
3.02,4.17034126563606
3.03,4.257223607495627
3.04,4.345263005853606
3.05,4.434471398563018
3.06,4.524860723476913
3.07,4.616442918448314
3.08,4.709229921330266
3.09,4.803233669975794
3.1,4.89846610223794
3.11,4.994939155969734
3.12,5.092664769024216
3.13,5.191654879254417
3.14,5.291921424513374
3.15,5.393476342654121
3.16,5.496331571529698
3.17,5.600499048993127
3.18,5.7059907128974565
3.19,5.812818501095713
3.2,5.92099435144094
3.21,6.03053020178616
3.22,6.141437989984421
3.23,6.253729653888746
3.24,6.367417131352182
3.25,6.482512360227752
3.26,6.5990272783684985
3.27,6.716973823627458
3.28,6.8363639338576565
3.29,6.957209546912142
3.3,7.079522600643935
3.31,7.203315032906082
3.32,7.32859878155161
3.33,7.45538578443356
3.34,7.58368797940496
3.35,7.713517304318858
3.36,7.8448856970282685
3.37,7.977805095386247
3.38,8.112287437245815
3.39,8.248344660460013
3.4,8.385988702881873
3.41,8.525231502364438
3.42,8.66608499676073
3.43,8.808561123923797
3.44,8.95267182170666
3.45,9.098429027962371
3.46,9.245844680543946
3.47,9.39493071730444
3.48,9.545699076096868
3.49,9.69816169477428
3.5,9.852330511189695
3.51,10.008217463196166
3.52,10.165834488646723
3.53,10.325193525394392
3.54,10.486306511292222
3.55,10.649185384193231
3.56,10.81384208195047
3.57,10.980288542416965
3.58,11.148536703445757
3.59,11.318598502889865
3.6,11.49048587860235
3.61,11.664210768436218
3.62,11.839785110244527
3.63,12.0172208418803
3.64,12.196529901196584
3.65,12.377724226046396
3.66,12.560815754282787
3.67,12.74581642375878
3.68,12.93273817232742
3.69,13.12159293784173
3.7,13.312392658154762
3.71,13.50514927111953
3.72,13.699874714589091
3.73,13.896580926416458
3.74,14.09527984445469
3.75,14.295983406556797
3.76,14.498703550575824
3.77,14.70345221436482
3.78,14.9102413357768
3.79,15.119082852664809
3.8,15.329988702881874
3.81,15.542970824281046
3.82,15.75804115471534
3.83,15.975211632037809
3.84,16.19449419410147
3.85,16.415900778759376
3.86,16.639443323864544
3.87,16.865133767270027
3.88,17.09298404682884
3.89,17.32300610039404
3.9,17.55521186581864
3.91,17.789613280955702
3.92,18.02622228365823
3.93,18.26505081177929
3.94,18.50611080317188
3.95,18.749414195689077
3.96,18.994972927183877
3.97,19.24279893550934
3.98,19.492904158518485
3.99,19.745300534064373
4.0,20.0
4.01,20.257012019753716
4.02,20.516336159054955
4.03,20.77796950920848
4.04,21.04190916151897
4.05,21.308152207291187
