wind_speed,Enercon E-175 EP5
1.0,0.0
1.01,0.5888152766516049
1.02,1.1419447789606885
1.03,1.6601167880362817
1.04,2.1440595849874144
1.05,2.5945014509231203
1.06,3.012170666952428
1.07,3.3977955141843696
1.08,3.752104273727975
1.09,4.0758252266922765
1.1,4.369686654186308
1.11,4.634416837319094
1.12,4.87074405719967
1.13,5.079396594937061
1.14,5.261102731640308
1.15,5.416590748418439
1.16,5.546588926380481
1.17,5.651825546635468
1.18,5.733028890292431
1.19,5.7909272384604
1.2,5.826248872248407
1.21,5.83972207276548
1.22,5.832075121120654
1.23,5.804036298422959
1.24,5.756333885781426
1.25,5.689696164305084
1.26,5.604851415102966
1.27,5.502527919284103
1.28,5.383453957957526
1.29,5.248357812232269
1.3,5.097967763217353
1.31,4.933012092021822
1.32,4.754219079754698
1.33,4.562317007525016
1.34,4.358034156441807
1.35,4.142098807614099
1.36,3.915239242150927
1.37,3.678183741161317
1.38,3.431660585754311
1.39,3.17639805703893
1.4,2.913124436124206
1.41,2.6425680041191706
1.42,2.365457042132856
1.43,2.0825198312742907
1.44,1.7944846526525096
1.45,1.5020797873765452
1.46,1.206033516555422
1.47,0.907074121298177
1.48,0.6059298827138382
1.49,0.3033290819114307
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
1.94,0.0
1.95,0.0
1.96,0.0
1.97,0.0
1.98,0.0
1.99,0.0
2.0,0.0
2.01,0.6249890509941253
2.02,1.2856787518946515
2.03,1.9813556971564037
2.04,2.7113064812342724
2.05,3.474817698583041
2.06,4.271175943657619
2.07,5.099667810912777
2.08,5.959579894803452
2.09,6.85019878978439
2.1,7.770811090310522
2.11,8.720703390836613
2.12,9.699162285817591
2.13,10.70547436970822
2.14,11.73892623696342
2.15,12.79880448203796
2.16,13.88439569938676
2.17,14.9949864834646
2.18,16.129863428726384
2.19,17.288313129626882
2.2,18.46962218062104
2.21,19.673077176163595
2.22,20.89796471070948
2.23,22.14357137871346
2.24,23.409183774630478
2.25,24.694088492915256
2.26,25.997572128022703
2.27,27.31892127440773
2.28,28.657422526525067
2.29,30.01236247882967
2.3,31.383027725776248
2.31,32.76870486181979
2.32,34.16868048141501
2.33,35.58224117901688
2.34,37.00867354908012
2.35,38.44726418605968
2.36,39.89729968441029
2.37,41.35806663858696
2.38,42.82885164304436
2.39,44.30894129223746
2.4,45.797622180621005
2.41,47.29418090264996
2.42,48.79790405277903
2.43,50.3080782254632
2.44,51.82399001515719
2.45,53.34492601631595
2.46,54.87017282339424
2.47,56.39901703084698
2.48,57.93074523312892
2.49,59.46464402469502
2.5,61.0
2.51,62.53628487793491
2.52,64.07371087513523
2.53,65.6126753326725
2.54,67.15357559161836
2.55,68.69680899304431
2.56,70.24277287802208
2.57,71.7918645876231
2.58,73.3444814629191
2.59,74.90102084498159
2.6,76.4618800748822
2.61,78.02745649369244
2.62,79.59814744248402
2.63,81.17435026232842
2.64,82.75646229429732
2.65,84.34488087946225
2.66,85.94000335889486
2.67,87.54222707366661
2.68,89.15194936484926
2.69,90.76956757351428
2.7,92.39547904073336
2.71,94.03008110757791
2.72,95.67377111511976
2.73,97.32694640443027
2.74,98.99000431658123
2.75,100.6633421926441
2.76,102.34735737369049
2.77,104.04244720079204
2.78,105.74900901502028
2.79,107.46744015744687
2.8,109.19813796914332
2.81,110.9414997911813
2.82,112.69792296463233
2.83,114.46780483056808
2.84,116.25154273005998
2.85,118.04953400417985
2.86,119.86217599399905
2.87,121.68986604058938
2.88,123.53300148502224
2.89,125.39197966836936
2.9,127.26719793170224
2.91,129.1590536160926
2.92,131.06794406261184
2.93,132.99426661233167
2.94,134.93841860632364
2.95,136.90079738565944
2.96,138.8818002914105
2.97,140.88182466464855
2.98,142.90126784644502
2.99,144.94052717787173
3.0,147.0
3.01,149.07998343726615
3.02,151.18037374756443
3.03,153.30096697215353
3.04,155.44155915229237
3.05,157.60194632923958
3.06,159.78192454425414
3.07,161.98128983859468
3.08,164.19983825352023
3.09,166.43736583028925
3.1,168.69366861016087
3.11,170.96854263439357
3.12,173.26178394424647
3.13,175.5731885809781
3.14,177.90255258584742
3.15,180.2496720001131
3.16,182.61434286503408
3.17,184.99636122186897
3.18,187.39552311187677
3.19,189.8116245763161
3.2,192.24446165644588
3.21,194.6938303935248
3.22,197.1595268288118
3.23,199.64134700356544
3.24,202.13908695904485
3.25,204.65254273650848
3.26,207.1815103772153
3.27,209.72578592242417
3.28,212.2851654133937
3.29,214.8594448913829
3.3,217.4484203976504
3.31,220.05188797345508
3.32,222.66964366005564
3.33,225.30148349871104
3.34,227.9472035306799
3.35,230.6065997972212
3.36,233.27946833959345
3.37,235.9656051990557
3.38,238.6648064168667
3.39,241.37686803428528
3.4,244.10158609257
3.41,246.83875663298
3.42,249.58817569677367
3.43,252.34963932521023
3.44,255.1229435595482
3.45,257.90788444104646
