wind_speed,Südwind S-70 (special nacelle)
1.0,0.0
1.01,0.0553839857923425
1.02,0.1090981026663229
1.03,0.161159217984753
1.04,0.2115841991104445
1.05,0.2603899134062091
1.06,0.3075932282348586
1.07,0.3532110109592047
1.08,0.397260128942059
1.09,0.4397574495462336
1.1,0.48071984013454
1.11,0.5201641680697897
1.12,0.558107300714795
1.13,0.5945661054323663
1.14,0.6295574495853175
1.15,0.6630982005364588
1.16,0.6952052256486027
1.17,0.7258953922845605
1.18,0.755185567807144
1.19,0.7830926195791649
1.2,0.8096334149634349
1.21,0.8348248213227661
1.22,0.8586837060199697
1.23,0.881226936417858
1.24,0.9024713798792422
1.25,0.9224339037669343
1.26,0.9411313754437464
1.27,0.9585806622724898
1.28,0.9747986316159756
1.29,0.989802150837017
1.3,1.0036080872984248
1.31,1.0162333083630108
1.32,1.0276946813935868
1.33,1.0380090737529653
1.34,1.0471933528039563
1.35,1.055264385909373
1.36,1.0622390404320268
1.37,1.0681341837347296
1.38,1.0729666831802926
1.39,1.0767534061315274
1.4,1.0795112199512469
1.41,1.0812569920022614
1.42,1.0820075896473842
1.43,1.0817798802494258
1.44,1.080590731171198
1.45,1.078457009775513
1.46,1.075395583425183
1.47,1.0714233194830185
1.48,1.066557085311832
1.49,1.060813748274435
1.5,1.0542101757336395
1.51,1.046763235052257
1.52,1.0384897935930992
1.53,1.0294067187189782
1.54,1.0195308777927057
1.55,1.008879138177093
1.56,0.997468367234952
1.57,0.9853154323290942
1.58,0.972437200822333
1.59,0.9588505400774774
1.6,0.9445723174573408
1.61,0.9296194003247344
1.62,0.9140086560424716
1.63,0.8977569519733614
1.64,0.8808811554802178
1.65,0.8633981339258507
1.66,0.8453247546730731
1.67,0.8266778850846972
1.68,0.8074743925235331
1.69,0.7877311443523934
1.7,0.7674650079340896
1.71,0.7466928506314343
1.72,0.7254315398072385
1.73,0.7036979428243135
1.74,0.6815089270454713
1.75,0.6588813598335248
1.76,0.6358321085512847
1.77,0.612378040561562
1.78,0.5885360232271704
1.79,0.56432292391092
1.8,0.5397556099756233
1.81,0.5148509487840915
1.82,0.4896258076991376
1.83,0.4640970540835714
1.84,0.4382815553002062
1.85,0.4121961787118529
1.86,0.3858577916813234
1.87,0.35928326157143
1.88,0.332489455744984
1.89,0.3054932415647975
1.9,0.2783114863936815
1.91,0.2509610575944477
1.92,0.2234588225299085
1.93,0.1958216485628748
1.94,0.1680664030561601
1.95,0.1402099533725737
1.96,0.1122691668749304
1.97,0.084260910926039
1.98,0.0562020528887119
1.99,0.0281094601257615
2.0,0.0
2.01,0.0
2.02,0.0
2.03,0.0
2.04,0.0
2.05,0.0
2.06,0.0
2.07,0.0
2.08,0.0
2.09,0.0
2.1,0.0
2.11,0.0
2.12,0.0
2.13,0.0
2.14,0.0
2.15,0.0
2.16,0.0
2.17,0.0
2.18,0.0
2.19,0.0
2.2,0.0
2.21,0.0
2.22,0.0
2.23,0.0
2.24,0.0
2.25,0.0
2.26,0.0
2.27,0.0
2.28,0.0
2.29,0.0
2.3,0.0
2.31,0.0
2.32,0.0
2.33,0.0
2.34,0.0
2.35,0.0
2.36,0.0
2.37,0.0
2.38,0.0
2.39,0.0
2.4,0.0
2.41,0.0
2.42,0.0
2.43,0.0
2.44,0.0
2.45,0.0
2.46,0.0
2.47,0.0
2.48,0.0
2.49,0.0
2.5,0.0
2.51,0.0
2.52,0.0
2.53,0.0
2.54,0.0
2.55,0.0
2.56,0.0
2.57,0.0
2.58,0.0
2.59,0.0
2.6,0.0
2.61,0.0
2.62,0.0
2.63,0.0
2.64,0.0
2.65,0.0
2.66,0.0
2.67,0.0
2.68,0.0
2.69,0.0
2.7,0.0
2.71,0.0
2.72,0.0
2.73,0.0
2.74,0.0
2.75,0.0
2.76,0.0
2.77,0.0
2.78,0.0
2.79,0.0
2.8,0.0
2.81,0.0
2.82,0.0
2.83,0.0
2.84,0.0
2.85,0.0
2.86,0.0
2.87,0.0
2.88,0.0
2.89,0.0
2.9,0.0
2.91,0.0
2.92,0.0
2.93,0.0
2.94,0.0
2.95,0.0
2.96,0.0
2.97,0.0
2.98,0.0
2.99,0.0
3.0,0.0
3.01,0.0570778547107012
3.02,0.1159021088885228
3.03,0.1765324257193977
3.04,0.239028468389275
3.05,0.3034499000840859
3.06,0.3698563839897801
3.07,0.4383075832922941
3.08,0.5088631611775745
3.09,0.5815827808315548
3.1,0.6565261054401833
3.11,0.7337527981893972
3.12,0.8133225222651405
3.13,0.8952949408533526
3.14,0.9797297171399773
3.15,1.06668651431095
3.16,1.156224995552223
3.17,1.2484048240497234
3.18,1.3432856629894057
3.19,1.4409271755572006
3.2,1.54138902493906
3.21,1.644730874320912
3.22,1.751012386888712
3.23,1.8602932258283895
3.24,1.9726330543258968
3.25,2.0880915355671625
3.26,2.206728332738136
3.27,2.3286031090247623
3.28,2.453775527612972
3.29,2.582305251688718
3.3,2.714251944437931
3.31,2.849675269046561
3.32,2.9886348887005405
3.33,3.131190466585821
3.34,3.277401665888334
3.35,3.427328149794032
3.36,3.581029581488838
3.37,3.7385656241587166
3.38,3.89999594098959
3.39,4.065380195167415
3.4,4.234778049878114
3.41,4.408249168307647
3.42,4.585853213641943
3.43,4.767649849066955
3.44,4.953698737768606
3.45,5.144059542932863
3.46,5.338791927745637
3.47,5.5379555553929
3.48,5.741610089060563
3.49,5.949815191934595
3.5,6.162630527200917
3.51,6.380115758045477
3.52,6.602330547654227
3.53,6.829334559213089
3.54,7.061187455908024
3.55,7.297948900924955
3.56,7.539678557449839
3.57,7.786436088668603
3.58,8.038281157767203
3.59,8.295273427931566
3.6,8.557472562347648
3.61,8.824938224201372
3.62,9.097730076678696
3.63,9.375907782965552
3.64,9.659531006247894
3.65,9.94865940971164
3.66,10.243352656542756
3.67,10.54367040992716
3.68,10.84967233305082
3.69,11.16141808909965
3.7,11.478967341259615
3.71,11.802379752716632
3.72,12.131714986656672
3.73,12.467032706265645
3.74,12.808392574729524
3.75,13.155854255234214
3.76,13.509477410965676
3.77,13.86932170510987
3.78,14.235446800852705
3.79,14.607912361380146
3.8,14.98677804987811
3.81,15.37210352953257
3.82,15.763948463529438
3.83,16.162372515054674
3.84,16.5674353472942
3.85,16.97919662343399
3.86,17.39771600665994
3.87,17.82305316015804
3.88,18.25526774711419
3.89,18.69441943071437
3.9,19.14056787414448
3.91,19.59377274059049
3.92,20.05409369323833
3.93,20.521590395273957
3.94,20.996322509883274
3.95,21.478349700252277
3.96,21.96773162956685
3.97,22.464527961012987
3.98,22.968798357776578
3.99,23.480602483043626
4.0,24.0
4.01,24.527037767185103
4.02,25.06171142455196
4.03,25.604003807407064
4.04,26.15389775105675
4.05,26.711376090807534
4.06,27.27642166196586
4.07,27.84901729983821
4.08,28.429145839730943
4.09,29.016790116950546
4.1,29.61193296680348
4.11,30.214557224596216
4.12,30.824645725635133
4.13,31.442181305226686
4.14,32.06714679867737
4.15,32.699525041293654
4.16,33.33929886838188
4.17,33.98645111524856
4.18,34.64096461720012
4.19,35.302822209543066
4.2,35.972006727583754
4.21,36.64850100662868
4.22,37.33228788198426
4.23,38.023350188957046
4.24,38.72167076285332
4.25,39.42723243897962
4.26,40.14001805264239
4.27,40.860010439148056
4.28,41.58719243380313
4.29,42.32154687191397
4.3,43.06305658878703
4.31,43.811704419728805
4.32,44.567473200045775
4.33,45.33034576504427
4.34,46.100304950030775
4.35,46.87733359031176
4.36,47.66141452119378
4.37,48.45253057798306
4.38,49.25066459598617
4.39,50.05579941050956
4.4,50.86791785685972
4.41,51.68700277034297
4.42,52.5130369862658
4.43,53.34600333993471
4.44,54.18588466665617
4.45,55.03266380173649
4.46,55.88632358048221
4.47,56.746846838199765
4.48,57.61421641019568
4.49,58.48841513177623
4.5,59.36942583824795
4.51,60.25723136491731
4.52,61.15181454709072
4.53,62.05315822007472
4.54,62.96124521917562
4.55,63.87605837969991
4.56,64.79758053695404
4.57,65.72579452624456
4.58,66.66068318287773
4.59,67.60222934216011
4.6,68.5504158393981
4.61,69.50522550989828
4.62,70.46664118896689
4.63,71.43464571191049
4.64,72.40922191403548
4.65,73.39035263064847
4.66,74.37802069705565
4.67,75.37220894856358
4.68,76.37290022047875
4.69,77.38007734810765
4.7,78.39372316675656
4.71,79.41382051173201
4.72,80.44035221834044
4.73,81.47330112188841
4.74,82.5126500576822
4.75,83.5583818610283
4.76,84.61047936723315
4.77,85.66892541160325
4.78,86.7337028294451
4.79,87.80479445606497
4.8,88.8821831267694
4.81,89.96585167686487
4.82,91.05578294165788
4.83,92.15195975645466
4.84,93.2543649565618
4.85,94.36298137728572
4.86,95.477791853933
4.87,96.59877922180986
4.88,97.72592631622288
4.89,98.85921597247844
4.9,99.99863102588314
4.91,101.1441543117432
4.92,102.2957686653652
4.93,103.45345692205557
4.94,104.6172019171208
4.95,105.78698648586722
4.96,106.96279346360134
4.97,108.14460568562964
4.98,109.33240598725855
4.99,110.52617720379448
5.0,111.72590217054388
5.01,112.93156372281318
5.02,114.14314469590887
5.03,115.3606279251375
5.04,116.58399624580532
5.05,117.81323249321882
5.06,119.04831950268452
5.07,120.28924010950892
5.08,121.53597714899828
5.09,122.78851345645911
5.1,124.04683186719792
5.11,125.31091521652124
5.12,126.58074633973528
5.13,127.85630807214665
5.14,129.1375832490617
5.15,130.4245547057871
5.16,131.71720527762895
5.17,133.0155177998939
5.18,134.31947510788837
5.19,135.62906003691893
5.2,136.9442554222918
5.21,138.2650440993135
5.22,139.5914089032905
5.23,140.92333266952937
5.24,142.26079823333637
5.25,143.60378843001797
5.26,144.95228609488066
5.27,146.30627406323092
5.28,147.66573517037526
5.29,149.0306522516199
5.3,150.40100814227142
5.31,151.7767856776363
5.32,153.15796769302105
5.33,154.5445370237319
5.34,155.93647650507535
5.35,157.33376897235797
5.36,158.73639726088624
5.37,160.1443442059664
5.38,161.55759264290504
5.39,162.97612540700848
5.4,164.3999253335835
5.41,165.8289752579361
5.42,167.26325801537294
5.43,168.70275644120045
5.44,170.14745337072523
5.45,171.59733163925344
5.46,173.05237408209172
5.47,174.51256353454642
5.48,175.97788283192415
5.49,177.4483148095311
5.5,178.92384230267388
5.51,180.4044481466589
5.52,181.89011517679265
5.53,183.38082622838164
5.54,184.876564136732
5.55,186.3773117371505
5.56,187.8830518649434
5.57,189.39376735541745
5.58,190.90944104387867
5.59,192.43005576563377
5.6,193.9555943559891
5.61,195.48603965025129
5.62,197.0213744837265
5.63,198.56158169172127
5.64,200.1066441095421
5.65,201.65654457249565
5.66,203.2112659158879
5.67,204.7707909750256
5.68,206.3351025852151
5.69,207.90418358176305
5.7,209.4780167999756
5.71,211.0565850751593
5.72,212.6398712426206
5.73,214.2278581376661
5.74,215.820528595602
5.75,217.41786545173488
5.76,219.01985154137117
5.77,220.62646969981725
5.78,222.23770276237985
5.79,223.8535335643649
5.8,225.47394494107928
5.81,227.09891972782927
5.82,228.72844075992148
5.83,230.362490872662
5.84,232.00105290135764
5.85,233.64410968131463
5.86,235.29164404783964
5.87,236.9436388362388
5.88,238.60007688181872
5.89,240.2609410198859
5.9,241.92621408574684
5.91,243.59587891470773
5.92,245.26991834207516
5.93,246.9483152031556
5.94,248.6310523332556
5.95,250.31811256768137
5.96,252.00947874173943
5.97,253.70513369073632
5.98,255.40506024997856
5.99,257.1092412547723
6.0,258.8176595404242
6.01,260.5302979422406
6.02,262.24713929552803
6.03,263.9681664355931
6.04,265.693362197742
6.05,267.42270941728106
6.06,269.156190929517
6.07,270.89378956975634
6.08,272.63548817330525
6.09,274.3812695754702
6.1,276.1311166115578
6.11,277.8850121168746
6.12,279.6429389267267
6.13,281.40487987642064
6.14,283.17081780126307
6.15,284.94073553656034
6.16,286.71461591761874
6.17,288.49244177974487
6.18,290.27419595824523
6.19,292.0598612884262
6.2,293.8494206055941
6.21,295.6428567450555
6.22,297.44015254211683
6.23,299.2412908320848
6.24,301.04625445026534
6.25,302.8550262319651
6.26,304.6675890124907
6.27,306.4839256271483
6.28,308.30401891124484
