wind_speed,Samsung 25s
1.0,0.0
1.01,0.1547502285151803
1.02,0.3001216553021678
1.03,0.4363056844778645
1.04,0.5634937201591721
1.05,0.6818771664629929
1.06,0.7916474275062284
1.07,0.8929959074057806
1.08,0.9861140102785512
1.09,1.0711931402414423
1.1,1.1484247014113562
1.11,1.2180000979051944
1.12,1.2801107338398583
1.13,1.3349480133322496
1.14,1.3827033404992717
1.15,1.423568119457826
1.16,1.457733754324814
1.17,1.4853916492171375
1.18,1.5067332082516984
1.19,1.5219498355453993
1.2,1.5312329352151408
1.21,1.5347739113778256
1.22,1.532764168150356
1.23,1.5253951096496332
1.24,1.5128581399925591
1.25,1.495344663296036
1.26,1.4730460836769654
1.27,1.4461538052522491
1.28,1.4148592321387896
1.29,1.3793537684534891
1.3,1.339828818313248
1.31,1.2964757858349696
1.32,1.2494860751355543
1.33,1.1990510903319058
1.34,1.1453622355409252
1.35,1.0886109148795136
1.36,1.0289885324645742
1.37,0.966686492413008
1.38,0.9018961988417185
1.39,0.8348090558676051
1.4,0.765616467607571
1.41,0.6945098381785184
1.42,0.6216805716973486
1.43,0.5473200722809624
1.44,0.4716197440462639
1.45,0.3947709911101542
1.46,0.3169652175895348
1.47,0.238393827601308
1.48,0.1592482252623753
1.49,0.0797198146896384
1.5,0.0
1.51,0.0
1.52,0.0
1.53,0.0
1.54,0.0
1.55,0.0
1.56,0.0
1.57,0.0
1.58,0.0
1.59,0.0
1.6,0.0
1.61,0.0
1.62,0.0
1.63,0.0
1.64,0.0
1.65,0.0
1.66,0.0
1.67,0.0
1.68,0.0
1.69,0.0
1.7,0.0
1.71,0.0
1.72,0.0
1.73,0.0
1.74,0.0
1.75,0.0
1.76,0.0
1.77,0.0
1.78,0.0
1.79,0.0
1.8,0.0
1.81,0.0
1.82,0.0
1.83,0.0
1.84,0.0
1.85,0.0
1.86,0.0
1.87,0.0
1.88,0.0
1.89,0.0
1.9,0.0
1.91,0.0
1.92,0.0
1.93,0.0
