park_id,age,efficiency,efficiency_excl_curt,n_hours
00198_1,9.66735112936345,0.9186935262149323,0.9235572913363085,7512
00198_2,6.1711156741957565,1.0069194474328187,1.0172447590899736,3649
00282,6.776180698151951,0.7846205232057295,0.7858547935108159,7512
00298,6.997946611909651,0.7687082370505522,0.7693317581875533,7512
01200_1,11.915126625598905,0.6119149162427937,0.6056688381426122,7512
01200_2,9.91375770020534,0.6417492683423683,0.6327107875842936,7512
01303_1,14.825462012320328,0.7210309511708763,0.7167527778348953,7511
01303_2,22.02053388090349,0.7815723211213074,0.7818076382264798,7511
02483,8.0,0.9044303709944901,0.8999590210864022,7512
04745,20.501026694045173,0.8198055215053642,0.8172802648111901,7501
05347,5.418206707734429,0.5701651477212675,0.5534274639178429,7511
05426,7.17864476386037,0.7766683738719927,0.7787263457393717,7512
07374,21.541409993155373,0.801380586707956,0.8090464077684248,7512
