experiment,park_id,variant,outlier_share,r2,rmse_n,mae_n,energy_ratio,wasserstein,n_hours,window,curtailed_share
K1,00198_1,raw,0.1151490947816826,0.3713390113477404,0.2178293911678702,0.1376304679934031,1.1837570711682135,0.0495282969956134,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,00198_1,clean,0.1151490947816826,0.5539273387359632,0.1779661441592158,0.1186959083350886,1.1299001284721126,0.0360851609730502,6647,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,00198_1,clean_exkl_curt,0.1151490947816826,0.534701698287069,0.1773089878121565,0.1178848858689554,1.1208648566458352,0.0326780736068156,6647,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0493455694298179
K1,00198_2,raw,0.2203343381748423,0.6494298468165969,0.198758603686037,0.1358784966513329,1.1662240529138352,0.0600593694777454,3649,"('2023-12-31 23:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,00198_2,clean,0.2203343381748423,0.8008100736338398,0.1450381824241352,0.1019408750949336,1.2002506276785456,0.068418878162307,2845,"('2023-12-31 23:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,00198_2,clean_exkl_curt,0.2203343381748423,0.7966370560649527,0.1451907250498741,0.1023864029695419,1.2016696823359354,0.0682783671471895,2845,"('2023-12-31 23:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0418277680140597
K1,00282,raw,0.1763844515441959,0.5623261795468292,0.2175276425673022,0.1406352174877399,1.053720839843081,0.0229519578085673,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,00282,clean,0.1763844515441959,0.7943489729016487,0.1476254326847373,0.103521342168177,0.9815549281676464,0.0263652473208522,6187,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,00282,clean_exkl_curt,0.1763844515441959,0.793560511463857,0.1470862093449128,0.1034730095474632,0.9761868037991585,0.0268831088158256,6187,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0350735412962663
K1,00298,raw,0.2121938232161874,0.4993661217009124,0.2335305928846513,0.1467553446918513,1.0057347837210482,0.0252326934880504,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,00298,clean,0.2121938232161874,0.8386412129364594,0.1284111796013077,0.0907697746575178,0.903823434046064,0.0332591769294992,5918,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,00298,clean_exkl_curt,0.2121938232161874,0.8356824165171519,0.1280059486643547,0.0906066372181185,0.9013404600407052,0.0332370998244283,5918,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0408921933085501
K1,01200_1,raw,0.1313897763578274,0.1972813263254659,0.2614820618665682,0.145826023975174,1.3946310747189612,0.1084805120263834,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,01200_1,clean,0.1313897763578274,0.7621816759769732,0.1373324220474596,0.0929144593507678,1.2031344859041668,0.0571447616502944,6525,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,01200_1,clean_exkl_curt,0.1313897763578274,0.7493820923592026,0.1363820791850513,0.0920381641698423,1.2067114492094193,0.0557666171829413,6525,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0412260536398467
K1,01200_2,raw,0.1396432374866879,0.4631530495200993,0.213191784198135,0.1366443247591733,1.3920576066533736,0.1119995502733526,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,01200_2,clean,0.1396432374866879,0.582169627048033,0.171105035247487,0.1153604067496096,1.3905089950400191,0.0978012133620202,6463,"('2023-07-24 01:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,01200_2,clean_exkl_curt,0.1396432374866879,0.5589415757816194,0.1704178469924944,0.1143554549847037,1.4013121668349573,0.0965497089056601,6463,"('2023-07-24 01:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0375986384032183
K1,01303_1,raw,0.0604446811343363,0.7652912694308875,0.114016208104095,0.0752285657331408,1.0390157819226231,0.0237433592294657,7511,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,01303_1,clean,0.0604446811343363,0.8191655484272127,0.0922874356755676,0.0650893814581908,1.0248992796066494,0.0218791193295313,7057,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,01303_1,clean_exkl_curt,0.0604446811343363,0.8100486814050502,0.0911110577229244,0.0639431356941757,1.019066211129496,0.0217720973932143,7057,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0418024656369562
K1,01303_2,raw,0.075489282385834,0.7377695700552568,0.1105285224398764,0.0730658595196502,1.032545508370635,0.0290354962532222,7511,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,01303_2,clean,0.075489282385834,0.8044385465286613,0.087631818434357,0.0619425469286878,1.013017027401667,0.026822196482762,6944,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,01303_2,clean_exkl_curt,0.075489282385834,0.7957984367732995,0.0862438869465394,0.060734032275603,1.0038982425124163,0.0262239418930792,6944,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0411866359447004
K1,02483,raw,0.1807774227902023,0.6214773696403847,0.2213670798391109,0.1520882161385846,1.2311025436766023,0.1151307587392381,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,02483,clean,0.1807774227902023,0.7912484879168551,0.1679201984891672,0.1217777489282063,1.2139272017096807,0.1095531452942608,6154,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,02483,clean_exkl_curt,0.1807774227902023,0.7862868943284971,0.1686037419990048,0.1224994205038132,1.2210840761604638,0.1100416927370729,6154,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0510237244068898
K1,04745,raw,0.0202639648046927,0.6024575923535573,0.0883564035066617,0.0504224385011999,1.2748423398374775,0.0297068421402142,7501,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,04745,clean,0.0202639648046927,0.6381867236045129,0.0810934758516072,0.048004238299089,1.2601433558898063,0.027922204529957,7349,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,04745,clean_exkl_curt,0.0202639648046927,0.6038115934006292,0.0778737858658141,0.0458598735735499,1.2633754109385271,0.0261648823134793,7349,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0484419648931827
K1,05347,raw,0.2763946212222075,0.1116896373964105,0.2836281002736948,0.2045419798004608,1.7115675608343488,0.1927778229989499,7511,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,05347,clean,0.2763946212222075,0.2756030720487282,0.2403829177099441,0.1779459753700326,1.6089063585294536,0.1724900414252769,5435,"('2023-07-24 00:00:00+00:00', '2024-05-30 09:00:00+00:00')",
K1,05347,clean_exkl_curt,0.2763946212222075,0.2304761368258322,0.2405857264062156,0.1784543915959093,1.6335499102695852,0.1730069979609631,5435,"('2023-07-24 00:00:00+00:00', '2024-05-30 09:00:00+00:00')",0.0399264029438822
K1,05426,raw,0.1685303514376996,0.3047943644904205,0.2554552392431113,0.1774413761609356,1.5366285968405151,0.1515619505334061,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,05426,clean,0.1685303514376996,0.4459658161691406,0.2242633232446605,0.1601093515094379,1.4708883721009407,0.1445934386259995,6246,"('2023-07-24 04:00:00+00:00', '2024-05-31 18:00:00+00:00')",
K1,05426,clean_exkl_curt,0.1685303514376996,0.4202552508467169,0.2255792970397354,0.1614175146490262,1.4845360630284177,0.1457623734581199,6246,"('2023-07-24 04:00:00+00:00', '2024-05-31 18:00:00+00:00')",0.0457893051552993
K1,07374,raw,0.0315495207667732,0.6368339846177928,0.1261926110802227,0.078031405232044,0.9886285180155449,0.0175148181181033,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,07374,clean,0.0315495207667732,0.7046480241530835,0.113687037602743,0.0732905434759423,0.9565940652902764,0.0219129324773936,7275,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K1,07374,clean_exkl_curt,0.0315495207667732,0.7057118918835599,0.1095912354064104,0.0707571799060133,0.938554672180154,0.0215657168815286,7275,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0468728522336769
K3,00198_1,raw,0.1154153354632587,0.3103638574032392,0.2281488211151381,0.1449124362350075,1.1722869574686328,0.0466601531648627,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K3,00198_1,clean,0.1154153354632587,0.474464671958224,0.1933981955801735,0.1270279054496726,1.1260477889205176,0.0394884408966439,6645,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K3,00198_1,clean_exkl_curt,0.1154153354632587,0.4470005755164404,0.1933960758605384,0.1265940553174948,1.116253332432875,0.0384505442467284,6645,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0495109104589917
K3,00198_2,raw,0.251301726500411,0.6325326794442931,0.2034922291203933,0.1360071418466628,1.093447099343243,0.0368625521692415,3649,"('2023-12-31 23:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K3,00198_2,clean,0.251301726500411,0.844906293692328,0.1273587442666588,0.0899930546340663,1.102482729715532,0.0338681969513154,2732,"('2023-12-31 23:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K3,00198_2,clean_exkl_curt,0.251301726500411,0.8416951704034279,0.1275357456749741,0.0903193034933221,1.1006932013581692,0.0330109815712904,2732,"('2023-12-31 23:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0398975109809663
K3,00282,raw,0.1817092651757188,0.501697933275894,0.2321055431845591,0.1514317537097693,0.9862923448740188,0.0331631878142416,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K3,00282,clean,0.1817092651757188,0.7263990799252952,0.1688216382267773,0.1153564438741121,0.8895408727964809,0.0462321302755751,6147,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K3,00282,clean_exkl_curt,0.1817092651757188,0.7209116078738799,0.1695404430299985,0.1158578664324977,0.8835183176637996,0.0471734774778329,6147,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0333496014315926
K3,00298,raw,0.2123269435569754,0.4987958621782155,0.2336635594578972,0.1468756551789536,1.0062697141894867,0.0252056994415359,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K3,00298,clean,0.2123269435569754,0.8385598821236245,0.1284370874749079,0.0908210372946273,0.904108236225267,0.0331719986438784,5917,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K3,00298,clean_exkl_curt,0.2123269435569754,0.8355967948644,0.1280329752075321,0.0906600571099841,0.9016456937960872,0.0331462000899572,5917,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",0.0408991042758154
K3,01200_1,raw,0.1337859424920128,0.1996756422272043,0.2610918017223623,0.1454441012948484,1.392019798767995,0.1077626958929106,7512,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
K3,01200_1,clean,0.1337859424920128,0.7663326392538133,0.1361151114562308,0.0921589803595684,1.2009406648223864,0.0563878223792545,6507,"('2023-07-24 00:00:00+00:00', '2024-05-31 23:00:00+00:00')",
